Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,9,Hard,32,23,9,71.9%,8,3,5,37.5%,1988,1999,F,0,,,,,,,,,,
Roland Garros,14,Clay,55,41,14,74.5%,10,5,5,50.0%,1986,1999,SF,0,,,,,,,,,,
Wimbledon,14,Grass,66,53,13,80.3%,10,5,5,50.0%,1986,1999,W,0,,,,,,,,,,
US Open,14,Hard,53,39,14,73.6%,9,2,7,22.2%,1986,1999,SF,0,,,,,,,,,,
Olympics,2,,3,1,2,33.3%,0,0,0,-,1988,1992,R32,0,,,,,,,,,,
Fed Cup,9,,29,22,7,75.9%,3,2,1,66.7%,1989,1998,,0,,,,,,,,,,
Key Biscayne,11,Hard,41,30,11,73.2%,6,4,2,66.7%,1987,1999,SF,0,,,,,,,,,,
Zurich,11,Hard,32,22,10,68.8%,11,4,7,36.4%,1986,1997,W,0,,,,,,,,,,
Hamburg,9,Clay,28,19,9,67.9%,1,1,0,100.0%,1989,1999,F,0,,,,,,,,,,
Berlin,9,Clay,25,16,9,64.0%,5,3,2,60.0%,1987,1999,SF,0,,,,,,,,,,
Filderstadt,9,Hard,17,8,9,47.1%,5,3,2,60.0%,1986,1999,QF,0,,,,,,,,,,
Hilton Head,7,Clay,19,12,7,63.2%,1,0,1,0.0%,1988,1999,SF,0,,,,,,,,,,
