Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,23,13,10,56.5%,5,0,5,0.0%,2000,2009,R32,8,0.93,2.6%,5.3%,66.3%,63.9%,50.8%,59.5%,37.6%,62.3%,45.8%
Roland Garros,8,Clay,13,5,8,38.5%,2,1,1,50.0%,2000,2008,R64,7,0.84,1.1%,4.7%,68.6%,55.9%,38.1%,50.3%,41.7%,39.6%,42.2%
Wimbledon,9,Grass,12,3,9,25.0%,0,0,0,-,1999,2008,R128,5,0.67,0.9%,3.8%,69.3%,50.7%,41.8%,48.0%,35.1%,39.0%,50.0%
US Open,11,Hard,24,13,11,54.2%,3,2,1,66.7%,1999,2010,R32,9,0.87,2.2%,4.0%,64.4%,56.8%,51.9%,55.1%,39.2%,60.5%,44.4%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2004,2004,R64,0,,,,,,,,,,
Fed Cup,7,,25,12,13,48.0%,7,2,5,28.6%,2000,2008,,0,,,,,,,,,,
New Haven,9,Hard,18,9,9,50.0%,4,3,1,75.0%,2000,2010,R16,2,0.90,0.8%,11.3%,58.9%,58.9%,45.1%,53.2%,42.0%,35.7%,61.5%
Linz,8,Hard,11,3,8,27.3%,2,0,2,0.0%,1999,2008,R32,0,,,,,,,,,,
Bol,6,Clay,11,5,6,45.5%,3,0,3,0.0%,1998,2003,QF,0,,,,,,,,,,
Pattaya,5,Hard,15,10,5,66.7%,1,1,0,100.0%,2000,2007,F,0,,,,,,,,,,
Dubai,5,Hard,11,6,5,54.5%,7,6,1,85.7%,2002,2007,R16,0,,,,,,,,,,
Indian Wells,5,Hard,10,5,5,50.0%,1,0,1,0.0%,2000,2004,R32,0,,,,,,,,,,
