Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
14-Jul-2008,Biella 100K,Clay,F,96,284,(WC) Mara Santangelo [ITA] d. (3) Kostanic Tosic,6-3 6-1,,,,,,,,
14-Apr-2008,SaintMalo 100K,Clay,F,170,107,(4) Stephanie Cohen Aloro [FRA] d. Kostanic Tosic,6-2 7-5,,,,,,,,
13-Feb-2006,Bangalore,Hard,F,50,59,(3) Mara Santangelo [ITA] d. (6) Kostanic Tosic,3-6 7-6(5) 6-3,,,,,,,,
06-Feb-2006,Pattaya,Hard,F,69,45,(4) Shahar Peer [ISR] d. Kostanic Tosic,6-3 6-1,,,,,,,,
10-Oct-2005,Joue les Tours 50K,Hard,F,94,88,(2) Emilie Loit [FRA] d. (1) Kostanic Tosic,6-2 6-1,,,,,,,,
04-Aug-2003,Helsinki,Clay,F,95,25,(2) Anna Smashnova [ISR] d. (Q) Kostanic Tosic,4-6 6-4 6-0,,,,,,,,
25-Jun-2001,Fontanafredda 25K,Clay,F,195,203,(1) Kostanic Tosic d. (3) Bahia Mouhtassine [MAR],6-4 6-3,,,,,,,,
24-May-1999,Warsaw 25K,Clay,F,164,266,(1) Kostanic Tosic d. Libuse Prusova [CZE],4-6 6-3 6-2,,,,,,,,
22-Feb-1999,Bushey 25K,Carpet,F,237,201,(Q) Kostanic Tosic d. Lorna Woodroffe [GBR],7-6 6-3,,,,,,,,
14-Sep-1998,Otocec 25K,Clay,F,297,249,(Q) Kostanic Tosic d. Anca Barna [GER],6-4 7-6,,,,,,,,
