Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,19,14,5,73.7%,5,2,3,40.0%,2017,2021,F,16,1.15,8.5%,3.9%,52.6%,71.9%,51.7%,62.3%,43.2%,60.4%,53.2%
Roland Garros,6,Clay,12,6,6,50.0%,3,2,1,66.7%,2016,2021,R32,9,1.01,3.7%,3.4%,56.7%,67.6%,48.1%,59.2%,41.1%,58.2%,44.4%
Wimbledon,4,Grass,6,2,4,33.3%,2,0,2,0.0%,2016,2019,R64,5,1.07,6.6%,5.0%,53.2%,74.1%,51.8%,63.6%,39.1%,67.6%,45.2%
US Open,8,Hard,20,12,8,60.0%,4,3,1,75.0%,2014,2023,SF,16,1.06,5.2%,5.0%,55.0%,64.1%,47.2%,56.5%,46.0%,57.7%,51.5%
Olympics,1,,1,0,1,0.0%,0,0,0,-,2021,2021,R64,0,,,,,,,,,,
Miami,5,Hard,5,0,5,0.0%,1,0,1,0.0%,2017,2026,R64,5,0.92,2.9%,2.9%,53.7%,64.3%,40.4%,53.2%,42.8%,48.1%,38.0%
Indian Wells,4,Hard,7,3,4,42.9%,1,0,1,0.0%,2017,2026,R32,7,0.98,5.1%,4.2%,54.1%,67.6%,49.0%,59.0%,40.1%,62.3%,44.7%
Beijing,4,Hard,11,7,4,63.6%,3,1,2,33.3%,2017,2023,R16,11,1.06,4.6%,4.9%,51.1%,68.8%,49.7%,59.5%,43.0%,65.1%,43.5%
Cincinnati,8,Hard,15,7,8,46.7%,9,4,5,44.4%,2015,2023,R32,14,0.99,4.9%,4.9%,55.7%,66.7%,50.2%,59.4%,40.4%,60.8%,44.0%
Montreal,3,Hard,7,4,3,57.1%,4,3,1,75.0%,2016,2023,R32,7,0.97,8.7%,5.9%,53.5%,69.1%,46.4%,58.5%,40.3%,70.4%,48.8%
Washington,3,Hard,5,2,3,40.0%,0,0,0,-,2018,2023,R16,5,0.95,3.3%,5.8%,54.7%,63.3%,37.9%,51.8%,45.7%,53.7%,48.6%
