Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2014,1,0,1,0.0%,0-1,0.0%,6-7,46.2%,0-1,0.0%,1,-,-,3.8%,3.8%,67.9%,69.4%,35.3%,58.5%,38.6%,48.2%,0.93,R32 (Nanchang)
2013,2,1,1,50.0%,2-2,50.0%,14-16,46.7%,0-0,-,0,,,,,,,,,,,,R16 (Ningbo)
2011,2,1,1,50.0%,2-3,40.0%,19-21,47.5%,0-0,-,0,,,,,,,,,,,,R16 (Taipei 100K)
2005,4,3,1,75.0%,6-2,75.0%,40-22,64.5%,0-0,-,0,,,,,,,,,,,,SF (Beijing 1 50K)
2004,12,10,2,83.3%,21-4,84.0%,140-76,64.8%,0-0,-,0,,,,,,,,,,,,W (Beijing 25K)
2003,43,29,14,67.4%,60-41,59.4%,503-410,55.1%,2-3,40.0%,0,,,,,,,,,,,,W (Bronx NY 50K)
2002,36,26,10,72.2%,54-25,68.4%,409-307,57.1%,3-3,50.0%,0,,,,,,,,,,,,W (2x)
2001,13,8,5,61.5%,20-13,60.6%,164-151,52.1%,3-2,60.0%,0,,,,,,,,,,,,F (Hohhot 10K)
2000,4,2,2,50.0%,5-4,55.6%,38-37,50.7%,0-0,-,0,,,,,,,,,,,,R16 (2x)
Career,117,80,37,68.4%,170-95,64.2%,1333-1047,56.0%,8-9,47.1%,1,-,-,3.8%,3.8%,67.9%,69.4%,35.3%,58.5%,38.6%,48.2%,0.93,
