Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1995,4,1,3,25.0%,3-6,33.3%,42-49,46.2%,1-0,100.0%,0,,,,,,,,,,,,R64 (3x)
1994,9,4,5,44.4%,10-11,47.6%,100-105,48.8%,0-0,-,0,,,,,,,,,,,,
1993,18,4,14,22.2%,15-24,38.5%,155-187,45.3%,0-4,0.0%,0,,,,,,,,,,,,R16 (Linz)
1992,32,14,18,43.8%,33-37,47.1%,310-317,49.4%,4-2,66.7%,0,,,,,,,,,,,,SF (Birmingham)
1991,37,17,20,45.9%,40-45,47.1%,389-381,50.5%,1-3,25.0%,0,,,,,,,,,,,,SF (2x)
1990,27,13,14,48.1%,30-27,52.6%,281-249,53.0%,3-6,33.3%,0,,,,,,,,,,,,F (Newport)
1989,25,9,16,36.0%,20-31,39.2%,208-249,45.5%,4-2,66.7%,0,,,,,,,,,,,,SF (Auckland)
1988,40,19,21,47.5%,36-44,45.0%,341-368,48.1%,8-4,66.7%,0,,,,,,,,,,,,QF (2x)
1987,32,12,20,37.5%,27-40,40.3%,276-324,46.0%,3-2,60.0%,0,,,,,,,,,,,,R16 (4x)
1986,44,24,20,54.5%,46-46,50.0%,429-434,49.7%,8-3,72.7%,0,,,,,,,,,,,,SF (Mahwah)
1985,40,18,22,45.0%,43-46,48.3%,394-397,49.8%,1-4,20.0%,0,,,,,,,,,,,,SF (Brighton)
1984,35,18,17,51.4%,39-35,52.7%,366-319,53.4%,2-6,25.0%,0,,,,,,,,,,,,QF (5x)
1983,70,49,21,70.0%,99-47,67.8%,748-565,57.0%,3-2,60.0%,0,,,,,,,,,,,,W (2x)
1982,50,26,24,52.0%,61-51,54.5%,503-494,50.5%,2-6,25.0%,0,,,,,,,,,,,,SF (Eastbourne)
1981,45,31,14,68.9%,60-40,60.0%,465-403,53.6%,4-1,80.0%,0,,,,,,,,,,,,W (3x)
1980,37,22,15,59.5%,49-32,60.5%,383-332,53.6%,4-1,80.0%,0,,,,,,,,,,,,W (Hampstead)
1979,27,18,9,66.7%,30-23,56.6%,254-229,52.6%,7-2,77.8%,0,,,,,,,,,,,,W (2x)
1978,29,18,11,62.1%,37-25,59.7%,295-247,54.4%,1-2,33.3%,0,,,,,,,,,,,,W (Norwich)
1977,18,11,7,61.1%,23-17,57.5%,194-164,54.2%,0-1,0.0%,0,,,,,,,,,,,,SF (3x)
1976,11,5,6,45.5%,12-11,52.2%,125-110,53.2%,1-0,100.0%,0,,,,,,,,,,,,F (Frinton-On-Sea)
1975,2,1,1,50.0%,2-1,66.7%,17-14,54.8%,0-1,0.0%,0,,,,,,,,,,,,F (Exmouth)
Career,632,334,298,52.8%,715-639,52.8%,6275-5937,51.4%,57-52,52.3%,0,,,,,,,,,,,,
