Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 s Hertogenbosch R32,L vs Andreescu,0.99,0.53,36.7,2.0,0.0%,48.4%,3.4%,44.8%,28.0%,29.2%
2022 Limoges 125 R32,L vs Kostyuk,1.01,0.66,50.0,2.0,3.6%,57.1%,0.0%,37.0%,20.7%,50.0%
2022 W60 Trnava R32,W vs Guth,1.23,1.91,32.0,2.0,3.7%,59.3%,4.3%,65.2%,55.2%,63.0%
2019 W25 Osaka QF,L vs Omae,0.93,0.83,66.9,3.1,2.1%,59.6%,2.2%,51.1%,34.1%,45.2%
2019 W25 Osaka R32,W vs Shimizu,1.04,1.52,46.8,2.0,0.0%,58.6%,0.0%,64.3%,55.2%,57.7%
2019 W15 Nanchang R16,L vs Zhang,0.86,0.83,63.4,8.1,2.5%,65.0%,0.0%,55.6%,37.5%,38.6%
2019 W15 Nanchang R32,W vs Guo,1.09,1.23,63.9,4.9,-,54.5%,-,67.5%,43.9%,45.5%
2019 W15 Nanchang R16,L vs Kim,0.85,0.68,39.1,2.2,0.0%,50.0%,3.4%,37.9%,45.7%,42.9%
2019 W15 Nanchang R32,W vs Ma,1.10,1.38,50.2,2.8,7.7%,59.0%,0.0%,64.9%,44.1%,51.6%
2019 W15 Palmanova R32,L vs Delgado,0.86,0.73,45.7,2.0,5.9%,61.8%,0.0%,46.9%,39.5%,37.1%
2019 W15 Manacor R16,L vs Vicens Mas,0.94,0.68,49.6,2.7,0.0%,47.2%,0.0%,51.5%,46.2%,26.1%
2019 W15 Manacor R32,W vs Delgado,1.12,1.35,57.6,3.0,0.0%,61.8%,6.5%,67.7%,40.0%,45.7%
2018 Taipei R32,L vs Cabrera,0.95,0.61,49.3,3.1,3.2%,58.1%,6.9%,48.3%,37.9%,20.8%
2017 Guimaraes $15K QF,L vs Armitano,1.04,0.61,41.5,2.2,4.0%,36.0%,4.2%,45.8%,36.7%,33.3%
2017 Guimaraes $15K R16,W vs Santos,0.98,1.88,40.1,2.1,0.0%,61.5%,0.0%,82.6%,61.5%,48.0%
2017 Guimaraes $15K R32,W vs Murta,1.16,1.71,42.5,2.0,4.0%,68.0%,0.0%,54.5%,56.5%,56.5%
2025 (1 matches),,0.99,0.53,36.7,2.0,0.0%,48.4%,3.4%,44.8%,28.0%,29.2%
2022 (2 matches),,1.12,1.14,41.2,2.0,3.6%,58.2%,2.0%,50.0%,37.9%,56.6%
2019 (9 matches),,0.98,0.97,54.8,2.8,2.1%,57.6%,1.3%,56.6%,42.1%,43.4%
2018 (1 matches),,0.95,0.61,49.3,3.1,3.2%,58.1%,6.9%,48.3%,37.9%,20.8%
2017 (3 matches),,1.05,1.20,41.4,2.1,2.6%,55.3%,1.4%,60.9%,50.6%,44.9%
Career (16 matches),,1.00,0.97,50.0,2.5,2.3%,56.8%,1.8%,55.3%,42.0%,43.3%
