Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,24,9,15,37.5%,24-32,42.9%,238-282,45.8%,3-3,50.0%,24,60.5%,32.6%,6.9%,5.5%,57.7%,63.1%,43.7%,54.9%,42.1%,48.6%,0.93
Clay,1,0,1,0.0%,0-2,0.0%,10-13,43.5%,0-1,0.0%,1,63.6%,27.3%,13.5%,4.1%,55.4%,70.7%,30.3%,52.7%,38.9%,45.9%,0.82
Grass,22,10,12,45.5%,24-28,46.2%,227-262,46.4%,3-2,60.0%,22,67.4%,25.7%,5.5%,5.6%,62.2%,66.6%,41.8%,57.2%,38.7%,48.0%,0.90
Grand Slams,11,3,8,27.3%,7-16,30.4%,82-117,41.2%,0-1,0.0%,11,61.2%,22.0%,7.4%,5.7%,61.2%,66.2%,39.0%,55.6%,37.0%,46.2%,0.83
Premiers,10,5,5,50.0%,12-12,50.0%,103-116,47.0%,1-0,100.0%,10,67.9%,30.4%,6.4%,4.9%,61.3%,65.8%,43.9%,57.3%,40.8%,49.2%,0.96
Internationals,25,11,14,44.0%,29-32,47.5%,285-312,47.7%,5-5,50.0%,25,64.2%,31.3%,6.1%,5.8%,58.7%,65.0%,42.9%,55.9%,41.4%,48.8%,0.94
Finals,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,1,55.6%,11.1%,4.1%,6.1%,57.1%,67.9%,23.8%,49.0%,35.1%,41.5%,0.69
Semi-finals,1,1,0,100.0%,2-0,100.0%,14-10,58.3%,0-0,-,1,66.7%,50.0%,4.3%,1.4%,62.3%,62.8%,53.8%,59.4%,45.5%,52.6%,1.12
Quarter-finals,2,1,1,50.0%,2-3,40.0%,19-25,43.2%,0-0,-,2,61.9%,26.1%,3.6%,5.1%,52.9%,63.0%,43.1%,53.6%,40.9%,46.8%,0.88
vs Righties,44,17,27,38.6%,44-59,42.7%,445-525,45.9%,6-6,50.0%,44,63.6%,29.2%,6.3%,5.4%,60.0%,65.0%,42.1%,55.9%,40.5%,48.3%,0.92
vs Lefties,2,1,1,50.0%,2-3,40.0%,18-26,40.9%,0-0,-,2,59.1%,22.7%,8.7%,5.0%,55.3%,62.9%,43.1%,54.0%,37.1%,46.1%,0.81
vs Top 10,5,1,4,20.0%,2-8,20.0%,29-56,34.1%,0-0,-,5,48.8%,20.5%,3.4%,8.0%,62.2%,58.3%,37.4%,50.4%,36.4%,43.3%,0.73
