Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2025 Rio De Janeiro 125 R32,L vs Rame,75% (6/8),14% (1/7),0/0,0/0,43% (3/7),1/3,0/1,25% (1/4),0% (0/4)
2024 Wimbledon R128,L vs Bouzkova,33% (1/3),29% (2/7),0/0,0/0,60% (9/15),5/7,2/3,- (0/0),- (0/0)
2023 Rabat SF,L vs Grabher,56% (9/16),40% (4/10),1/2,0/0,50% (5/10),1/3,1/2,29% (2/7),57% (4/7)
2023 Rabat R16,W vs Sherif,47% (9/19),42% (5/12),2/6,1/5,83% (15/18),2/2,0/0,- (0/0),- (0/0)
2023 Rabat R32,W vs Mladenovic,56% (5/9),58% (7/12),2/3,1/1,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2017 Buenos Aires $15K R32,L vs Petit,43% (3/7),67% (6/9),1/2,0/0,43% (6/14),0/2,0/1,- (0/0),- (0/0)
2025 (1 matches),,75.0%,14.3%,-,-,42.9%,33.3%,0.0%,25.0%,0.0%
2024 (1 matches),,33.3%,28.6%,-,-,60.0%,71.4%,66.7%,-,-
2023 (3 matches),,52.3%,47.1%,45.5%,33.3%,66.7%,60.0%,50.0%,28.6%,57.1%
2017 (1 matches),,42.9%,66.7%,50.0%,-,42.9%,0.0%,0.0%,-,-
Career (6 matches),,53.2%,43.9%,46.2%,33.3%,57.6%,52.9%,42.9%,27.3%,36.4%
