Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,3,Hard,9,6,3,66.7%,1,0,1,0.0%,2024,2026,R128,9,1.07,4.4%,3.3%,63.3%,66.6%,47.2%,59.5%,43.4%,64.1%,48.6%
Roland Garros,2,Clay,8,6,2,75.0%,1,1,0,100.0%,2024,2025,R128,8,1.17,4.6%,1.0%,61.5%,65.8%,55.1%,61.7%,44.9%,46.3%,61.1%
Wimbledon,3,Grass,5,2,3,40.0%,1,0,1,0.0%,2023,2025,R128,5,0.90,6.4%,5.7%,60.9%,59.3%,41.0%,52.2%,42.9%,47.4%,44.1%
US Open,3,Hard,5,2,3,40.0%,1,1,0,100.0%,2023,2025,Q2,5,1.04,3.7%,5.6%,61.1%,68.7%,44.4%,59.3%,42.4%,50.0%,43.6%
Antalya 125 1,2,Clay,2,0,2,0.0%,1,0,1,0.0%,2025,2026,R32,2,0.94,2.9%,3.9%,58.3%,58.3%,50.0%,54.9%,42.5%,55.2%,45.5%
Buenos Aires 125,4,Clay,9,5,4,55.6%,1,0,1,0.0%,2022,2025,SF,9,1.00,2.9%,3.5%,54.2%,62.7%,43.4%,53.9%,46.0%,49.3%,45.1%
Colina 125,2,Clay,2,0,2,0.0%,0,0,0,-,2023,2025,R32,2,0.81,2.8%,7.3%,48.0%,60.5%,47.3%,53.6%,37.6%,60.9%,57.1%
Cali 125,3,Clay,5,2,3,40.0%,1,0,1,0.0%,2023,2025,QF,5,0.99,2.6%,7.5%,52.3%,59.0%,40.1%,50.0%,49.3%,45.2%,57.5%
Florianopolis 125,3,Clay,4,1,3,25.0%,3,0,3,0.0%,2023,2025,R16,4,0.89,1.6%,8.1%,54.9%,55.0%,40.3%,48.4%,45.9%,42.9%,42.6%
Bogota,2,Clay,6,4,2,66.7%,0,0,0,-,2024,2025,SF,6,1.10,3.5%,9.0%,53.7%,64.8%,48.5%,57.2%,47.2%,60.4%,49.1%
