Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W60 Hechingen Q1,W vs Siskova,1.35,2.75,26.7,2.1,-,66.7%,-,70.0%,66.7%,62.5%
2019 W25 Bad Saulgau Q2,L vs Zund,1.00,0.77,57.6,3.0,-,38.2%,-,57.1%,45.5%,36.7%
2019 W25 Darmstadt R32,L vs Wagner,1.02,0.52,39.9,2.0,-,34.5%,-,60.0%,17.4%,38.1%
2019 W60 Barcelona Q1,L vs Yerolymos,0.90,0.65,43.3,2.1,-,44.8%,-,31.0%,36.7%,53.6%
2019 W15 Sharm El Sheikh F,W vs De Vroome,1.02,1.49,52.0,2.4,9.4%,59.4%,0.0%,63.3%,58.3%,54.5%
2019 W15 Sharm El Sheikh SF,W vs Vdovenco,1.04,1.47,51.1,2.1,0.0%,57.1%,0.0%,55.6%,61.5%,62.5%
2019 W15 Sharm El Sheikh R16,W vs Silich,1.06,1.49,37.9,2.0,0.0%,40.7%,0.0%,72.0%,69.0%,55.6%
2019 W15 Sharm El Sheikh R32,W vs Chaudhari,1.19,1.48,48.5,3.3,2.7%,56.8%,0.0%,74.3%,41.9%,44.4%
2019 W15 Sharm El Sheikh R32,L vs Kubareva,0.90,0.87,69.2,3.5,0.0%,42.9%,0.0%,56.0%,47.2%,51.0%
2019 W15 Sharm El Sheikh R32,L vs Snigur,0.81,0.54,36.0,2.0,0.0%,36.4%,5.0%,55.0%,36.7%,36.7%
2019 W15 Stuttgart Stammheim QF,L vs Kraus,0.89,0.85,73.1,3.4,0.0%,45.2%,2.6%,51.3%,49.0%,50.0%
2019 W15 Stuttgart Stammheim R32,W vs Tomanova,1.22,1.51,45.0,2.2,0.0%,69.7%,0.0%,50.0%,48.3%,50.0%
2017 Sharm El Sheikh $15K R32,L vs Rushiti,0.89,0.82,60.9,2.7,2.5%,55.0%,2.8%,58.3%,40.9%,39.5%
2017 Sharm El Sheikh $15K F,L vs Bronzetti,0.95,0.60,44.9,2.2,0.0%,42.3%,0.0%,56.0%,40.7%,23.1%
2017 Sharm El Sheikh $15K SF,W vs Kolar,1.12,1.25,70.9,4.7,2.0%,64.7%,0.0%,69.6%,33.3%,40.4%
2017 Sharm El Sheikh $15K QF,W vs Shoshyna,1.11,3.34,29.4,2.0,0.0%,88.9%,0.0%,64.3%,70.0%,61.1%
2017 Sharm El Sheikh $15K R16,W vs Rushiti,0.99,1.44,54.7,3.2,3.1%,71.9%,0.0%,64.5%,44.4%,48.4%
2017 Sharm El Sheikh $15K R32,W vs Cadar,1.17,1.21,67.4,4.7,2.3%,56.8%,2.6%,69.2%,38.6%,38.5%
2017 Sharm El Sheikh $15K SF,L vs Samir,0.83,0.57,38.3,2.1,0.0%,39.1%,0.0%,57.1%,37.1%,35.3%
2017 Sharm El Sheikh $15K QF,W vs Shoshyna,1.49,2.17,25.0,2.1,3.7%,55.6%,0.0%,73.1%,46.9%,58.6%
2019 (12 matches),,1.01,1.05,51.4,2.4,1.4%,49.0%,0.8%,57.5%,48.0%,49.4%
2017 (44 matches),,1.05,1.11,54.6,2.7,1.0%,56.3%,0.7%,57.4%,46.9%,44.5%
2016 (42 matches),,1.05,1.18,59.0,2.8,1.1%,54.7%,0.6%,55.4%,50.7%,50.0%
2015 (9 matches),,1.12,1.19,51.8,2.3,0.6%,54.2%,0.4%,51.4%,48.9%,51.2%
2014 (3 matches),,0.93,0.96,49.8,2.4,1.2%,45.8%,3.9%,55.3%,55.3%,47.0%
Career (123 matches),,1.05,1.11,55.7,2.6,1.0%,53.9%,0.7%,55.5%,48.6%,47.5%
