Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,27,16,11,59.3%,3,2,1,66.7%,1988,2000,QF,0,,,,,,,,,,
Roland Garros,13,Clay,33,20,13,60.6%,6,3,3,50.0%,1987,2000,QF,0,,,,,,,,,,
Wimbledon,11,Grass,21,10,11,47.6%,5,1,4,20.0%,1988,2000,R16,0,,,,,,,,,,
US Open,12,Hard,30,18,12,60.0%,5,3,2,60.0%,1987,2000,R16,0,,,,,,,,,,
Olympics,2,,5,3,2,60.0%,3,1,2,33.3%,1992,2000,R16,0,,,,,,,,,,
Fed Cup,7,,23,13,10,56.5%,3,2,1,66.7%,1990,2000,,0,,,,,,,,,,
Paris,13,Carpet,40,28,12,70.0%,10,5,5,50.0%,1987,2000,W,0,,,,,,,,,,
Berlin,8,Clay,25,17,8,68.0%,4,4,0,100.0%,1988,2000,F,0,,,,,,,,,,
Key Biscayne,8,Hard,16,8,8,50.0%,3,2,1,66.7%,1989,1999,R16,0,,,,,,,,,,
Sydney,7,Hard,16,9,7,56.3%,6,3,3,50.0%,1988,2000,QF,0,,,,,,,,,,
Filderstadt,7,Hard,11,4,7,36.4%,3,0,3,0.0%,1988,1999,R16,0,,,,,,,,,,
Barcelona,6,Clay,15,9,6,60.0%,3,2,1,66.7%,1989,1995,QF,0,,,,,,,,,,
