Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2000,57,32,25,56.1%,67-58,53.6%,579-545,51.5%,5-4,55.6%,0,,,,,,,,,,,,W (2x)
1999,69,47,22,68.1%,88-50,63.8%,670-539,55.4%,8-4,66.7%,0,,,,,,,,,,,,W (2x)
1998,57,34,23,59.6%,67-47,58.8%,535-454,54.1%,8-6,57.1%,0,,,,,,,,,,,,W (2x)
1997,1,0,1,0.0%,1-2,33.3%,11-16,40.7%,0-0,-,0,,,,,,,,,,,,R32 (Tokyo)
1996,42,31,11,73.8%,62-28,68.9%,460-342,57.4%,7-2,77.8%,0,,,,,,,,,,,,W (2x)
1995,38,21,17,55.3%,43-36,54.4%,368-345,51.6%,4-5,44.4%,0,,,,,,,,,,,,W (Prague)
1994,63,41,22,65.1%,83-57,59.3%,658-596,52.5%,8-5,61.5%,0,,,,,,,,,,,,W (Taranto)
1993,48,28,20,58.3%,55-42,56.7%,449-409,52.3%,10-2,83.3%,0,,,,,,,,,,,,SF (2x)
1992,37,23,14,62.2%,45-34,57.0%,355-323,52.4%,3-5,37.5%,0,,,,,,,,,,,,W (Taranto)
1991,67,44,23,65.7%,88-63,58.3%,718-607,54.2%,5-1,83.3%,0,,,,,,,,,,,,W (San Juan)
1990,39,22,17,56.4%,48-37,56.5%,391-354,52.5%,2-5,28.6%,0,,,,,,,,,,,,SF (Paris)
1989,26,10,16,38.5%,24-34,41.4%,239-280,46.1%,2-4,33.3%,0,,,,,,,,,,,,QF (Moscow)
1988,27,12,15,44.4%,26-31,45.6%,251-253,49.8%,2-8,20.0%,0,,,,,,,,,,,,R16 (4x)
1987,14,9,5,64.3%,17-13,56.7%,134-136,49.6%,5-1,83.3%,0,,,,,,,,,,,,F (Athens)
Career,585,354,231,60.5%,714-532,57.3%,5818-5199,52.8%,69-52,57.0%,0,,,,,,,,,,,,
