Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2019 W80 Gifu R32,L vs Zhu,0.93,0.89,70.7,9.3,0.0%,56.1%,0.0%,44.2%,38.6%,56.6%
2019 Anning R16,W vs Raina,1.12,1.10,95.1,60.6,4.8%,54.8%,0.0%,44.8%,52.3%,45.8%
2019 Anning R32,W vs Kuwata,1.11,1.35,47.2,3.7,7.3%,58.5%,2.6%,57.9%,50.0%,51.4%
2019 W25 Kashiwa R32,L vs Chang,0.98,0.81,61.8,2.9,0.0%,51.3%,2.6%,39.5%,51.4%,38.2%
2019 W25 Osaka SF,L vs Jorovic,1.00,0.85,73.4,5.0,0.0%,50.0%,0.0%,36.8%,44.2%,52.0%
2019 W25 Osaka QF,W vs Liu,1.12,1.24,60.2,5.0,0.0%,59.6%,2.4%,54.8%,46.8%,47.6%
2019 W25 Osaka R16,W vs Han,1.09,1.25,63.8,3.0,0.0%,50.0%,0.0%,55.9%,59.0%,48.6%
2019 W60 Kyoto F,L vs In Albon,0.97,0.64,43.7,2.0,0.0%,48.3%,0.0%,60.7%,34.4%,25.8%
2019 W60 Kyoto SF,W vs Hibino,1.29,1.53,39.5,2.2,5.4%,64.9%,0.0%,48.6%,53.3%,48.1%
2019 W60 Kyoto QF,W vs Imanishi,1.21,1.24,54.9,4.0,0.0%,54.3%,0.0%,46.7%,51.1%,50.0%
2019 W60 Kyoto R16,W vs Kobori,1.17,1.66,40.2,2.2,13.3%,70.0%,14.3%,67.9%,48.1%,39.1%
2019 W25 Singapore R32,W vs Chong,1.01,1.30,54.1,2.0,2.2%,62.2%,2.4%,68.3%,44.2%,46.0%
2018 Taipei Q1,L vs Martincova,0.99,0.78,55.7,2.4,2.4%,48.8%,0.0%,51.3%,48.4%,28.0%
2018 Tianjin Q2,L vs Doi,1.03,0.49,40.1,2.1,0.0%,42.3%,0.0%,48.0%,31.8%,20.0%
2018 Tianjin Q1,W vs Kang,0.90,1.17,64.1,4.4,5.8%,63.5%,4.3%,58.7%,41.2%,60.0%
2018 Guangzhou Q2,L vs Cabrera,1.12,0.86,50.6,8.7,4.3%,43.5%,0.0%,38.6%,38.5%,52.8%
2018 Guangzhou Q1,W vs Kuwata,1.20,1.95,38.2,2.0,8.7%,65.2%,9.5%,66.7%,58.3%,52.4%
2018 Hiroshima Q1,L vs Savinykh,0.90,0.92,74.5,2.5,3.8%,62.3%,2.1%,60.4%,36.2%,42.6%
2018 Zhengzhou R32,L vs Lu,0.88,0.68,52.8,2.3,0.0%,46.2%,0.0%,50.0%,48.5%,31.3%
2018 Zhengzhou Q2,L vs Xun,0.92,0.74,52.8,2.7,0.0%,51.5%,0.0%,36.7%,50.0%,39.4%
2019 (12 matches),,1.08,1.10,61.7,3.3,2.6%,56.6%,1.7%,51.2%,47.6%,46.8%
2018 (9 matches),,0.99,0.93,60.9,3.0,2.8%,53.4%,1.5%,49.2%,45.3%,46.4%
2017 (28 matches),,1.03,0.97,53.6,2.6,1.7%,53.8%,0.5%,50.9%,44.7%,45.0%
2016 (35 matches),,1.02,1.03,56.3,2.7,1.4%,55.0%,1.5%,52.9%,44.4%,48.8%
2015 (20 matches),,1.00,1.07,55.7,2.7,0.9%,53.2%,0.6%,53.5%,50.2%,50.1%
Career (114 matches),,1.03,1.03,56.8,2.7,1.6%,54.3%,1.1%,52.1%,46.6%,47.6%
