Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2026 Australian Open R128,L vs Rybakina,10% (1/10),0% (0/1),0/1,22% (2/9),0% (0/2),0/0,0/0,1/2,0/0,1/1
2023 US Open R32,L vs Swiatek,0% (0/7),- (0/0),0/4,83% (5/6),0% (0/5),0/0,0/0,0/1,0/0,0/0
2023 US Open R64,W vs Davis,38% (6/16),83% (5/6),1/2,20% (3/15),33% (1/3),2/4,1/2,0/0,0/0,0/0
2023 US Open R128,W vs Cocciaretto,60% (6/10),83% (5/6),0/2,30% (3/10),33% (1/3),3/3,0/0,0/0,0/0,0/0
2023 Wimbledon R64,L vs Potapova,36% (4/11),50% (2/4),1/4,70% (7/10),43% (3/7),1/2,0/0,0/0,0/0,0/0
2023 Australian Open R64,L vs Rybakina,0% (0/8),- (0/0),0/3,57% (4/7),0% (0/4),0/0,0/0,0/1,0/0,0/0
2023 Australian Open R128,W vs Janicijevic,50% (5/10),100% (5/5),0/1,22% (2/9),50% (1/2),4/4,1/1,1/1,0/0,0/0
2022 US Open R128,L vs Bucsa,40% (4/10),25% (1/4),0/3,50% (5/10),40% (2/5),1/1,0/0,1/1,0/0,0/0
2022 Granby R32,L vs Brace,45% (5/11),40% (2/5),0/3,40% (4/10),0% (0/4),2/2,0/0,2/3,0/0,1/1
2022 Wimbledon R32,L vs Watson,30% (3/10),67% (2/3),1/4,50% (5/10),20% (1/5),1/2,0/0,3/3,0/0,1/1
2022 Wimbledon R64,W vs Galfi,60% (6/10),67% (4/6),0/2,18% (2/11),0% (0/2),3/3,1/1,1/1,1/1,0/0
2022 Wimbledon R128,W vs Haddad Maia,36% (5/14),60% (3/5),0/1,7% (1/14),0% (0/1),1/1,0/0,1/1,0/0,0/0
2022 Roland Garros R64,L vs Badosa,36% (5/14),80% (4/5),1/5,47% (7/15),14% (1/7),2/4,1/1,1/2,0/0,0/1
2022 Roland Garros R128,W vs Selekhmeteva,67% (8/12),75% (6/8),1/5,50% (6/12),17% (1/6),4/6,1/1,5/5,0/0,0/0
2022 Strasbourg F,L vs Kerber,56% (10/18),60% (6/10),3/6,39% (7/18),14% (1/7),3/5,0/1,2/2,0/0,2/2
2022 Strasbourg R32,W vs Glushko,75% (6/8),100% (6/6),1/2,50% (4/8),50% (2/4),4/5,1/3,0/0,1/1,0/0
2022 Indian Wells R64,L vs Sorribes Tormo,27% (4/15),75% (3/4),0/3,40% (6/15),33% (2/6),3/3,1/1,2/3,0/0,0/0
2022 Adelaide 1 R16,W vs Sabalenka,60% (6/10),100% (6/6),2/3,33% (3/9),0% (0/3),3/4,0/0,0/0,0/0,0/0
2021 Cluj-Napoca 2 R32,L vs Cristian,19% (3/16),100% (3/3),0/2,29% (5/17),60% (3/5),3/3,1/2,1/1,0/1,0/0
2021 US Open R64,L vs Collins,11% (1/9),100% (1/1),1/4,56% (5/9),20% (1/5),1/1,0/0,0/0,0/0,0/0
2026 (1 matches),,10.0%,0.0%,0.0%,22.2%,0.0%,-,-,50.0%,-,100.0%
2023 (6 matches),,33.9%,81.0%,12.5%,42.1%,25.0%,76.9%,66.7%,33.3%,-,-
2022 (11 matches),,47.0%,69.4%,24.3%,37.9%,20.0%,75.0%,62.5%,85.7%,100.0%,80.0%
2021 (11 matches),,39.3%,70.5%,31.3%,44.1%,26.9%,74.1%,70.0%,45.5%,60.0%,42.9%
2020 (5 matches),,54.3%,68.0%,40.0%,66.7%,23.3%,46.2%,50.0%,25.0%,0.0%,0.0%
Career (86 matches),,48.0%,79.0%,34.7%,45.9%,24.0%,70.8%,67.1%,59.3%,73.5%,52.9%
