Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Miami R16,W vs Eala,0.0%,-,14.1%,72.7%,31.8%,53.3%,33.3%,12.0%,20.0%,0.0%,-,16,24
2026 Indian Wells R16,L vs Swiatek,0.0%,-,4.1%,75.0%,14.3%,27.8%,0.0%,12.5%,33.3%,0.0%,-,6,62
2026 Indian Wells R32,W vs Ruzic,0.0%,-,6.2%,33.3%,20.0%,26.1%,25.0%,8.8%,16.7%,0.0%,-,-52,-31
2026 Doha F,W vs Mboko,5.3%,100.0%,13.4%,88.9%,14.0%,35.0%,0.0%,5.9%,25.0%,2.4%,40.0%,-40,-31
2026 Doha R32,W vs Valentova,0.0%,-,11.5%,75.0%,15.5%,33.3%,50.0%,15.2%,33.3%,0.0%,-,25,39
2026 Doha R64,W vs Cristian,0.0%,-,11.6%,57.1%,25.0%,33.3%,0.0%,11.5%,25.0%,2.3%,20.0%,26,17
2026 Australian Open R16,L vs Gauff,1.4%,100.0%,13.5%,71.4%,9.1%,29.2%,0.0%,3.7%,8.1%,1.5%,20.0%,-6,-12
2026 Australian Open R32,W vs Linette,5.4%,50.0%,8.0%,85.7%,20.7%,37.5%,0.0%,9.7%,40.0%,1.4%,50.0%,74,92
2026 Australian Open R64,W vs Parks,1.9%,100.0%,4.7%,70.0%,19.1%,33.3%,100.0%,8.1%,0.0%,1.1%,100.0%,-92,-11
2026 Brisbane SF,L vs Sabalenka,1.9%,100.0%,6.5%,100.0%,18.6%,20.0%,0.0%,10.0%,50.0%,2.5%,0.0%,-46,-15
2025 Wuhan R64,W vs Kostyuk,4.7%,25.0%,14.5%,61.5%,16.3%,46.2%,0.0%,11.4%,27.8%,0.8%,0.0%,64,49
2025 Beijing R16,L vs Anisimova,2.7%,100.0%,5.8%,88.9%,15.2%,50.0%,0.0%,20.6%,40.0%,0.5%,0.0%,-45,-24
2025 US Open R16,W vs Kostyuk,7.2%,77.8%,12.5%,61.5%,11.5%,16.7%,33.3%,11.4%,20.0%,2.5%,12.5%,-26,-41
2025 US Open R32,W vs Noskova,3.8%,66.7%,7.1%,80.0%,16.9%,24.1%,60.0%,13.7%,22.2%,1.6%,0.0%,24,34
2025 US Open R128,W vs Williams,1.6%,100.0%,9.0%,78.6%,17.9%,31.6%,25.0%,16.3%,50.0%,1.6%,33.3%,40,76
2025 Montreal R64,W vs Ruzic,6.5%,60.0%,9.1%,71.4%,19.8%,34.8%,66.7%,9.1%,40.0%,1.9%,25.0%,68,51
2025 Miami R32,L vs Svitolina,5.1%,50.0%,12.0%,70.0%,15.0%,34.8%,66.7%,7.5%,26.7%,3.1%,25.0%,13,18
2025 Indian Wells R16,L vs Swiatek,2.6%,0.0%,11.8%,33.3%,7.4%,11.1%,0.0%,3.2%,12.5%,1.8%,50.0%,104,94
2025 Dubai SF,L vs Tauson,5.1%,80.0%,11.6%,72.0%,20.5%,34.2%,0.0%,4.3%,20.0%,2.3%,33.3%,38,21
2025 Linz SF,L vs Alexandrova,2.1%,100.0%,8.9%,66.7%,22.6%,44.4%,0.0%,8.6%,12.5%,3.3%,50.0%,-95,-38
Last 52 Weeks (16 matches),,3.2%,72.7%,9.5%,72.1%,16.8%,31.6%,30.6%,10.4%,24.2%,1.3%,22.7%,1,13
Career (107 matches),,5.3%,69.5%,13.9%,68.4%,14.8%,24.4%,16.9%,9.5%,24.3%,2.4%,35.5%,21,21
