Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Miami R16,W vs Eala,1.34,3.44,27.9,2.1,0.0%,80.0%,0.0%,75.0%,54.5%,60.0%
2026 Indian Wells R16,L vs Swiatek,1.09,2.31,39.4,2.4,5.0%,80.0%,0.0%,68.4%,46.7%,62.1%
2026 Indian Wells R32,W vs Ruzic,1.06,2.41,40.4,2.1,0.0%,73.7%,11.1%,77.8%,51.6%,58.6%
2026 Doha R32,W vs Valentova,0.91,1.81,52.2,2.2,0.0%,81.0%,5.3%,68.4%,59.4%,40.6%
2026 Doha R64,W vs Cristian,1.02,1.51,47.0,2.2,0.0%,63.6%,3.1%,68.8%,36.7%,65.4%
2026 Australian Open R16,L vs Gauff,0.93,0.76,52.5,2.0,2.6%,60.5%,2.7%,56.8%,30.2%,37.8%
2026 Australian Open R32,W vs Linette,0.98,2.37,38.1,2.0,5.0%,75.0%,0.0%,77.8%,48.0%,66.7%
2026 Australian Open R64,W vs Parks,1.06,1.12,69.8,6.3,5.4%,58.9%,0.0%,63.5%,34.0%,48.0%
2026 Brisbane SF,L vs Sabalenka,0.94,0.71,53.8,2.0,13.3%,66.7%,10.3%,58.6%,18.2%,38.7%
2025 Wuhan R64,W vs Kostyuk,1.12,1.26,58.6,5.0,0.0%,65.9%,0.0%,56.1%,47.9%,39.1%
2025 Beijing R16,L vs Anisimova,0.79,0.77,69.0,4.9,9.8%,68.3%,5.3%,50.0%,42.5%,36.1%
2025 US Open R16,W vs Kostyuk,1.17,1.01,63.4,2.4,3.1%,69.2%,0.0%,53.2%,33.3%,33.3%
2025 US Open R32,W vs Noskova,0.90,1.25,65.0,5.6,13.0%,80.4%,2.5%,50.0%,47.6%,45.9%
2025 US Open R128,W vs Williams,1.04,1.37,49.8,2.5,5.6%,61.1%,15.2%,69.7%,42.2%,50.0%
2025 Montreal R64,W vs Ruzic,1.18,1.29,55.7,3.7,7.1%,54.8%,7.3%,68.3%,43.2%,41.2%
2025 Miami R32,L vs Svitolina,0.90,0.80,59.3,2.3,13.6%,70.5%,4.8%,45.2%,32.6%,42.1%
2025 Dubai SF,L vs Tauson,0.96,0.89,78.1,3.2,5.5%,61.8%,6.0%,58.0%,35.1%,38.9%
2025 Linz SF,L vs Alexandrova,0.96,0.54,41.2,2.0,0.0%,48.0%,4.2%,50.0%,25.9%,32.0%
2025 Linz R16,W vs Sorribes Tormo,1.17,1.79,38.8,2.0,11.5%,57.7%,8.0%,80.0%,27.6%,70.4%
2025 Australian Open R64,L vs Osaka,0.92,0.73,55.5,4.0,4.1%,53.1%,4.3%,56.5%,37.8%,34.4%
2026 (9 matches),,1.02,1.43,50.2,2.3,3.9%,68.1%,3.3%,66.3%,40.5%,51.4%
2025 (14 matches),,1.00,1.01,57.6,2.8,7.2%,63.6%,4.3%,55.2%,39.7%,42.1%
2024 (13 matches),,1.02,1.11,55.9,2.6,6.3%,62.8%,4.7%,59.2%,42.4%,41.9%
2023 (24 matches),,1.04,1.16,59.8,2.6,3.3%,59.8%,5.2%,59.7%,45.5%,44.2%
2022 (8 matches),,1.03,0.91,51.0,2.5,3.5%,58.5%,3.8%,56.3%,37.7%,37.4%
Career (209 matches),,1.02,1.12,57.9,2.7,3.6%,60.1%,3.3%,58.5%,44.7%,44.7%
