Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),132,588,197,1570,267,1442,130,1595,141,1498,702,81,,
2025,139,537,197,1560,253,1457,145,1572,146,1493,513,140
2024,228,313,203,1524,258,1422,147,1542,170,1444,88,961
2023,197,385,191,1540,216,1452,174,1504,,,,
2022,244,262,229,1473,238,1410,211,1423,129,1477,,
2021,155,460,207,1489,206,1428,181,1470,168,1426,,
2020,113,656,123,1604,149,1486,96,1592,,,175,495
2019,127,492,184,1560,223,1434,152,1534,158,1460,307,240
2018,268,191,,,,,,,,,421,117
2017,524,57,,,,,,,,,447,112
2016,414,84,,,,,,,,,245,257
2015,273,163,,,,,,,,,389,122
2014,549,42,,,,,,,,,869,19
2013,321,151,,,,,,,,,316,192
2012,419,86,,,,,,,,,1196,4
2011,479,74,,,,,,,,,634,52
2010,533,55,,,,,,,,,435,104
2009,759,22,,,,,,,,,,
