Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Indian Wells R32,W vs Andreeva,14.8%,18.8%,47.2%,18.1%,22.3%,49.4%,34.0%,36.2%,40.0%,6.5%,9.7%,41.4%,0.0%,11.1%,0.0%,-51
2025 Wuhan QF,L vs Pegula,15.2%,19.7%,49.0%,15.4%,20.5%,54.5%,53.8%,34.6%,33.3%,18.2%,22.7%,38.9%,21.4%,37.5%,100.0%,52
2025 Seoul SF,L vs Alexandrova,17.5%,23.8%,41.3%,18.5%,27.8%,40.9%,19.0%,27.3%,14.3%,17.4%,17.4%,42.1%,0.0%,28.6%,0.0%,35
2025 s Hertogenbosch R32,L vs Blinkova,13.0%,25.9%,35.0%,21.2%,39.4%,42.3%,56.3%,29.4%,25.0%,0.0%,7.1%,21.4%,42.9%,28.6%,50.0%,-119
2025 Linz R32,L vs Avanesyan,16.4%,23.6%,47.5%,20.0%,33.3%,45.8%,17.6%,23.1%,25.0%,15.8%,15.8%,50.0%,33.3%,23.1%,0.0%,19
2025 Australian Open R128,L vs Swiatek,19.3%,31.6%,45.2%,17.6%,29.4%,46.4%,40.0%,26.3%,0.0%,26.3%,42.1%,42.9%,27.3%,25.0%,0.0%,106
2024 Wuhan R32,L vs Sabalenka,24.0%,25.3%,42.0%,26.9%,28.8%,50.0%,38.5%,19.2%,11.1%,25.0%,25.0%,16.7%,0.0%,25.0%,-,81
2024 Cleveland R32,W vs Ishii,26.3%,37.3%,52.6%,31.1%,43.2%,49.0%,34.5%,33.3%,42.9%,24.2%,36.4%,60.0%,20.0%,22.2%,0.0%,95
2024 Berlin R32,W vs Navarro,32.1%,43.4%,62.5%,32.4%,45.9%,64.0%,47.1%,30.0%,0.0%,41.7%,50.0%,57.1%,66.7%,33.3%,0.0%,197
2024 Strasbourg R16,L vs Collins,22.0%,36.6%,33.3%,27.3%,40.9%,25.0%,37.5%,28.6%,0.0%,17.6%,35.3%,42.9%,30.0%,71.4%,-,23
2023 Nanchang F,W vs Bouzkova,6.4%,11.9%,52.6%,5.4%,13.5%,55.7%,31.0%,24.4%,0.0%,10.7%,10.7%,44.0%,14.3%,21.4%,0.0%,-20
2023 Hong Kong F,L vs Fernandez,25.6%,35.6%,44.6%,24.1%,35.2%,41.5%,25.0%,20.0%,12.5%,29.4%,38.2%,50.0%,38.9%,6.3%,0.0%,-37
2023 Bad Homburg F,W vs Bronzetti,23.5%,25.0%,46.7%,32.6%,34.9%,51.7%,18.8%,33.3%,66.7%,11.1%,11.1%,37.5%,20.0%,12.5%,-,-27
2023 Roland Garros R128,L vs Stearns,17.4%,23.2%,38.3%,20.9%,30.2%,50.0%,26.3%,37.5%,14.3%,18.8%,18.8%,7.7%,12.5%,12.5%,-,14
2023 Australian Open R128,L vs Gauff,20.0%,28.9%,44.1%,25.0%,35.7%,47.6%,27.3%,11.8%,0.0%,13.3%,20.0%,38.5%,27.3%,0.0%,-,17
2022 BJK Cup Finals RR,W vs Gauff,22.6%,27.4%,63.6%,26.3%,34.2%,75.0%,50.0%,31.8%,100.0%,20.0%,20.0%,43.8%,40.0%,0.0%,0.0%,73
2022 Portoroz F,W vs Rybakina,24.3%,26.1%,49.4%,27.0%,29.7%,55.6%,36.0%,30.6%,0.0%,20.6%,20.6%,37.0%,17.6%,23.5%,0.0%,-6
2022 Portoroz R16,W vs Burrage,32.7%,42.3%,50.0%,41.7%,55.6%,61.9%,26.3%,23.5%,-,15.4%,15.4%,27.3%,40.0%,12.5%,0.0%,25
2022 Wimbledon R128,L vs Chwalinska,10.2%,18.6%,48.0%,9.1%,15.9%,52.5%,66.7%,17.4%,16.7%,16.7%,33.3%,30.0%,50.0%,0.0%,0.0%,35
2022 Bad Homburg R32,L vs Halep,13.9%,23.8%,43.2%,18.3%,25.0%,36.7%,42.3%,32.4%,22.2%,8.6%,25.7%,53.1%,15.0%,20.0%,0.0%,-34
Last 52 Weeks (4 matches),,15.2%,21.3%,44.2%,18.2%,25.9%,47.2%,37.1%,32.5%,31.0%,11.1%,14.4%,37.5%,12.0%,22.5%,22.2%,-12
Career (56 matches),,17.7%,25.1%,46.8%,20.3%,29.2%,49.2%,32.7%,26.7%,21.5%,15.9%,21.7%,42.3%,20.4%,21.8%,15.4%,35
