Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
17-Mar-2026,Miami,Hard,R128,42,58,Camila Osorio [COL] d. Siniakova,6-1 6-4,0.67,0.0%,12.8%,57.4%,51.9%,30.0%,3/8,1:19
04-Mar-2026,Indian Wells,Hard,R16,44,9,(9) Elina Svitolina [UKR] d. Siniakova,6-1 1-1 RET,0.52,0.0%,4.2%,45.8%,54.5%,46.2%,1/3,0:38
04-Mar-2026,Indian Wells,Hard,R32,44,8,Siniakova d. (8) Mirra Andreeva [RUS],4-6 7-6(5) 6-3,1.08,0.0%,2.3%,72.7%,58.1%,42.9%,19/26,2:48
04-Mar-2026,Indian Wells,Hard,R64,44,27,Siniakova d. (27) Leylah Fernandez [CAN],5-7 6-4 7-6(1),0.99,1.4%,4.3%,68.8%,64.2%,48.8%,14/18,3:28
04-Mar-2026,Indian Wells,Hard,R128,44,45,Siniakova d. Sofia Kenin [USA],1-6 6-4 6-1,1.08,6.8%,4.1%,54.8%,70.0%,51.5%,3/6,1:51
15-Feb-2026,Dubai,Hard,R64,42,70,Paula Badosa [ESP] d. Siniakova,6-3 7-5,0.82,1.4%,2.7%,71.6%,58.5%,42.9%,6/10,1:45
08-Feb-2026,Doha,Hard,R32,44,80,(Q) Camila Osorio [COL] d. Siniakova,6-2 5-7 6-3,0.82,1.1%,5.6%,73.3%,54.5%,41.7%,2/8,2:09
08-Feb-2026,Doha,Hard,R64,44,14,Siniakova d. (11) Clara Tauson [DEN],6-4 6-1,1.47,1.8%,7.0%,63.2%,69.4%,38.1%,3/5,1:16
19-Jan-2026,Australian Open,Hard,R64,45,4,(4) Amanda Anisimova [USA] d. Siniakova,6-1 6-4,0.77,1.5%,10.3%,57.4%,61.5%,31.0%,10/14,1:43
19-Jan-2026,Australian Open,Hard,R128,45,90,Siniakova d. Panna Udvardy [HUN],6-1 6-2,1.84,6.7%,6.7%,71.1%,75.0%,53.8%,1/2,0:59
12-Jan-2026,Adelaide,Hard,R16,46,23,(9) Diana Shnaider [RUS] d. (LL) Siniakova,6-1 2-6 7-5,0.89,0.0%,2.6%,65.4%,62.7%,44.4%,2/7,1:52
12-Jan-2026,Adelaide,Hard,R32,46,27,(LL) Siniakova d. Dayana Yastremska [UKR],6-0 6-1,2.14,6.3%,6.3%,60.4%,69.0%,63.2%,8/8,0:53
12-Jan-2026,Adelaide,Hard,Q2,46,79,(12) Elena Gabriela Ruse [ROU] d. (5) Siniakova,3-6 6-3 6-2,0.95,1.4%,8.2%,71.2%,65.4%,42.9%,2/6,1:57
06-Oct-2025,Wuhan,Hard,QF,62,6,(6) Jessica Pegula [USA] d. (Q) Siniakova,2-6 6-0 6-3,0.70,1.5%,7.6%,57.6%,60.5%,42.9%,1/6,1:39
06-Oct-2025,Wuhan,Hard,R16,62,39,(Q) Siniakova d. (LL) Iva Jovic [USA],7-5 6-3,1.37,7.2%,8.7%,71.0%,75.5%,45.0%,3/4,1:47
06-Oct-2025,Wuhan,Hard,R32,62,35,(Q) Siniakova d. Maya Joint [AUS],6-3 6-1,1.33,1.8%,3.6%,55.4%,74.2%,36.0%,6/8,1:22
06-Oct-2025,Wuhan,Hard,R64,62,18,(Q) Siniakova d. (15) Diana Shnaider [RUS],6-4 6-4,1.45,3.9%,5.9%,72.5%,75.7%,50.0%,2/4,1:32
06-Oct-2025,Wuhan,Hard,Q2,62,353,(7) Siniakova d. Yafan Wang [CHN],6-3 7-5,1.21,6.5%,6.5%,64.9%,70.0%,48.1%,10/12,1:54
06-Oct-2025,Wuhan,Hard,Q1,62,88,(7) Siniakova d. Caty Mcnally [USA],7-5 6-3,1.28,3.2%,6.3%,58.7%,78.4%,46.2%,2/4,1:39
24-Sep-2025,Beijing,Hard,R128,62,59,Anastasia Potapova [RUS] d. Siniakova,6-3 6-4,0.69,0.0%,7.4%,66.2%,60.0%,30.4%,3/8,1:21
