Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
24-Feb-1986,Oakland,Carpet,F,18,2,(2) Chris Evert [USA] d. Jordan,6-2 6-4,,,,,,,,
13-May-1985,Melbourne,Carpet,F,,6,(1) Pam Shriver [USA] d. (2) Jordan,6-4 6-4,,,,,,,,
18-Jun-1984,Eastbourne,Grass,F,7,1,(1) Martina Navratilova [USA] d. (4) Jordan,6-4 6-1,,,,,,,,
19-Mar-1984,Dallas,Carpet,F,5,4,(3) Hana Mandlikova [AUS] d. (4) Jordan,7-6 3-6 6-1,,,,,,,,
29-Nov-1983,Australian Open,Grass,F,,,(1) Martina Navratilova [USA] d. (9) Jordan,6-2 7-6,,,,,,,,
21-Nov-1983,Sydney,Grass,F,,,(3) Jo Durie [GBR] d. (4) Jordan,6-3 7-5,,,,,,,,
02-Oct-1983,Detroit,Carpet,F,,,(8) Virginia Ruzici [ROU] d. (7) Jordan,4-6 6-4 6-2,,,,,,,,
19-Sep-1983,Richmond,Carpet,F,,,(5) Rosalyn Fairbank [USA] d. (2) Jordan,6-4 5-7 6-4,,,,,,,,
25-Apr-1983,Atlanta,Hard,F,,,(2) Pam Shriver [USA] d. (6) Jordan,6-2 6-0,,,,,,,,
08-Jan-1979,San Antonio Futures,,F,,,Jordan d. Linda Siegel [USA],6-2 7-5,,,,,,,,
