Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),264,260,266,1477,252,1456,,,184,1430,1099,31,,
2025,276,253,238,1511,212,1503,,,182,1447,1600,10
2024,840,30,,,,,,,,,511,123
2023,280,261,185,1547,162,1537,233,1411,138,1488,,
2022,145,435,121,1641,110,1614,135,1537,120,1496,,
2021,245,295,,,,,,,,,,
2020,270,235,,,,,,,,,500,122
2019,248,247,229,1461,236,1417,164,1518,223,1341,441,139
2018,176,322,,,,,,,,,554,51
2017,296,164,,,,,,,,,320,186
2016,384,93,,,,,,,,,556,69
2015,522,51,,,,,,,,,,
