Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,409,329,80,80.4%,691-217,76.1%,4978-3107,61.6%,36-21,63.2%,137,59.7%,21.7%,3.5%,6.6%,63.0%,67.5%,48.6%,60.5%,48.3%,54.3%,1.22
Clay,94,70,24,74.5%,150-59,71.8%,1116-763,59.4%,9-6,60.0%,28,-,-,3.2%,6.1%,61.2%,64.5%,43.5%,56.4%,50.2%,53.3%,1.15
Grass,70,53,17,75.7%,107-39,73.3%,789-536,59.5%,8-7,53.3%,36,-,-,4.0%,4.4%,68.1%,69.2%,51.9%,63.7%,45.4%,54.6%,1.25
Carpet,43,33,10,76.7%,73-26,73.7%,551-362,60.4%,4-4,50.0%,4,-,-,1.7%,6.4%,61.9%,68.5%,46.7%,60.2%,52.0%,55.9%,1.30
Grand Slams,164,132,32,80.5%,280-82,77.3%,1962-1218,61.7%,19-5,79.2%,101,64.3%,21.4%,3.5%,5.6%,64.0%,68.6%,48.6%,61.4%,49.6%,55.4%,1.29
Premiers,294,228,66,77.6%,480-172,73.6%,3545-2332,60.3%,24-16,60.0%,59,54.1%,27.8%,3.6%,6.6%,63.1%,65.9%,47.1%,58.9%,47.5%,53.2%,1.16
Internationals,70,57,13,81.4%,118-35,77.1%,848-547,60.8%,9-6,60.0%,15,72.7%,0.0%,4.7%,5.7%,61.5%,65.7%,50.2%,59.7%,45.8%,52.7%,1.14
Finals,60,41,19,68.3%,89-55,61.8%,746-604,55.3%,5-4,55.6%,15,-,-,1.7%,6.0%,62.7%,63.5%,44.9%,56.5%,45.3%,50.9%,1.04
Semi-finals,85,60,25,70.6%,130-58,69.1%,999-737,57.5%,9-8,52.9%,25,-,-,2.2%,4.8%,65.9%,63.3%,47.9%,58.1%,44.7%,51.3%,1.07
Quarter-finals,104,82,22,78.8%,172-56,75.4%,1241-832,59.9%,16-3,84.2%,29,-,-,3.9%,6.4%,64.7%,66.3%,47.5%,59.7%,47.0%,53.4%,1.16
vs Righties,572,452,120,79.0%,948-317,74.9%,6901-4434,60.9%,52-34,60.5%,191,59.7%,21.7%,3.6%,6.1%,63.8%,67.4%,48.2%,60.4%,48.3%,54.3%,1.22
vs Lefties,39,29,10,74.4%,64-22,74.4%,469-298,61.1%,5-4,55.6%,12,-,-,3.3%,6.9%,60.7%,68.8%,50.9%,61.8%,45.7%,53.8%,1.20
vs Top 10,148,84,64,56.8%,193-154,55.6%,1705-1542,52.5%,9-11,45.0%,48,-,-,2.5%,5.8%,64.8%,64.2%,45.9%,57.8%,44.5%,51.1%,1.05
