Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Dubai R32,L vs Rybakina,20.9%,27.9%,40.0%,23.1%,34.6%,45.0%,46.2%,23.1%,0.0%,23.1%,23.1%,30.0%,60.0%,12.5%,-,84
2026 Adelaide SF,L vs Mboko,13.0%,17.4%,37.8%,16.7%,20.0%,36.0%,38.9%,16.7%,0.0%,7.7%,15.4%,41.7%,60.0%,37.5%,-,-47
2025 Chennai F,L vs Tjen,15.3%,22.0%,40.4%,16.7%,26.2%,48.6%,20.0%,72.7%,100.0%,14.3%,14.3%,16.7%,71.4%,57.1%,100.0%,17
2025 Chennai QF,W vs Vekic,30.2%,41.9%,75.0%,25.0%,39.3%,71.4%,61.5%,26.7%,-,46.2%,53.8%,85.7%,20.0%,25.0%,-,57
2025 Chennai R16,W vs Bhamidipaty,19.7%,29.6%,48.0%,19.5%,34.1%,57.6%,50.0%,47.6%,66.7%,26.1%,30.4%,29.4%,40.0%,53.8%,50.0%,111
2025 US Open R128,L vs Anisimova,17.3%,19.2%,44.7%,20.8%,25.0%,42.1%,64.3%,10.0%,0.0%,17.4%,17.4%,47.4%,0.0%,7.7%,0.0%,46
2025 s Hertogenbosch R16,L vs Yuan,21.7%,31.9%,36.0%,26.5%,38.8%,41.7%,47.8%,42.3%,57.1%,12.5%,18.8%,21.4%,55.6%,42.9%,-,-4
2025 Australian Open R128,L vs Lys,14.0%,20.0%,30.8%,11.1%,18.5%,29.2%,46.2%,7.1%,0.0%,21.1%,26.3%,33.3%,40.0%,22.2%,33.3%,81
2024 Osaka F,L vs Lamens,21.3%,21.3%,20.6%,27.3%,27.3%,16.7%,38.9%,20.0%,20.0%,9.1%,9.1%,30.0%,20.0%,0.0%,0.0%,-36
2024 Roland Garros Q2,L vs Danilovic,14.5%,20.5%,50.8%,20.7%,27.6%,56.5%,48.3%,20.7%,44.4%,0.0%,5.3%,36.8%,66.7%,20.0%,33.3%,-119
2024 ITF Trnava R32,L vs Bondar,9.4%,25.0%,53.8%,13.0%,32.6%,55.0%,66.7%,36.0%,0.0%,0.0%,8.3%,50.0%,66.7%,33.3%,0.0%,-119
2023 Nanchang R32,W vs Wei,18.6%,24.3%,44.6%,17.9%,25.6%,43.8%,61.1%,33.3%,66.7%,20.0%,23.3%,45.8%,20.0%,60.0%,66.7%,-65
2023 Montreal R64,L vs Wozniacki,17.3%,23.1%,36.4%,25.0%,35.7%,28.6%,20.0%,7.7%,20.0%,14.3%,14.3%,50.0%,28.6%,14.3%,0.0%,-23
2023 Roland Garros R128,L vs Jeanjean,12.7%,22.7%,41.9%,15.9%,28.6%,45.3%,36.7%,45.5%,45.5%,10.8%,18.9%,36.4%,23.5%,75.0%,80.0%,-21
2023 Strasbourg R32,W vs Malygina,17.5%,22.5%,46.9%,19.2%,23.1%,42.9%,21.4%,58.3%,66.7%,15.4%,23.1%,54.5%,0.0%,80.0%,-,-18
2021 Australian Open R128,L vs Marino,14.3%,19.0%,51.5%,22.6%,28.3%,46.3%,60.9%,16.7%,0.0%,0.0%,3.7%,59.3%,36.4%,0.0%,0.0%,-119
2019 Australian Open R64,W vs Vekic,26.5%,34.7%,51.5%,33.3%,40.3%,56.3%,50.0%,33.3%,25.0%,10.0%,25.0%,38.9%,72.7%,33.3%,0.0%,-30
2018 Brisbane R32,W vs Kasatkina,14.9%,21.9%,54.4%,17.5%,28.6%,65.4%,31.3%,64.5%,25.0%,13.6%,15.9%,39.5%,12.5%,39.3%,66.7%,17
2016 Hobart R16,L vs Cibulkova,18.2%,27.3%,17.4%,23.8%,38.1%,18.8%,18.2%,50.0%,0.0%,12.5%,12.5%,14.3%,0.0%,33.3%,-,-23
Last 52 Weeks (7 matches),,19.6%,27.2%,44.6%,21.3%,31.7%,48.7%,45.5%,39.5%,42.1%,20.9%,24.3%,36.3%,41.2%,32.8%,25.0%,74
Career (19 matches),,17.4%,24.8%,44.9%,21.1%,30.6%,47.3%,44.0%,35.5%,31.7%,14.1%,18.7%,40.4%,35.5%,36.9%,35.3%,12
