Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Dubai R32,L vs Rybakina,0.0%,-,2.2%,100.0%,11.4%,25.0%,0.0%,11.5%,20.0%,0.0%,-,-49,-31
2026 Adelaide SF,L vs Mboko,0.0%,-,3.5%,33.3%,11.3%,20.0%,0.0%,9.3%,0.0%,0.8%,100.0%,-72,-69
2025 Chennai F,L vs Tjen,1.7%,100.0%,5.3%,62.5%,21.3%,27.6%,100.0%,7.5%,43.8%,0.0%,-,10,-9
2025 Chennai QF,W vs Vekic,0.0%,-,9.0%,87.5%,18.8%,40.0%,0.0%,15.4%,28.6%,0.0%,-,93,59
2025 Chennai R16,W vs Bhamidipaty,0.0%,-,6.0%,81.8%,15.1%,21.1%,0.0%,15.9%,33.3%,0.0%,-,-6,3
2025 US Open R128,L vs Anisimova,0.0%,-,2.0%,100.0%,5.0%,9.1%,0.0%,10.8%,20.0%,0.0%,-,-8,-19
2025 s Hertogenbosch R16,L vs Yuan,0.0%,-,7.2%,50.0%,21.6%,28.6%,0.0%,8.2%,18.2%,0.0%,-,34,33
2025 Australian Open R128,L vs Lys,0.0%,-,0.0%,0.0%,11.3%,33.3%,0.0%,4.4%,0.0%,0.0%,-,-37,-48
2024 Osaka F,L vs Lamens,0.0%,-,6.6%,66.7%,2.1%,0.0%,0.0%,5.8%,14.3%,0.0%,-,-41,-28
2024 Roland Garros Q2,L vs Danilovic,0.0%,-,8.2%,66.7%,11.7%,14.8%,8.3%,11.3%,21.1%,0.0%,-,-61,-53
2024 ITF Trnava R32,L vs Bondar,0.0%,-,8.4%,60.0%,25.4%,39.1%,0.0%,9.9%,40.0%,0.0%,-,39,13
2023 Nanchang R32,W vs Wei,0.0%,-,11.0%,70.6%,15.3%,13.3%,0.0%,7.6%,40.0%,0.0%,-,7,-11
2023 Montreal R64,L vs Wozniacki,0.0%,-,10.9%,53.8%,6.7%,33.3%,0.0%,2.9%,6.7%,0.0%,-,-56,-28
2023 Roland Garros R128,L vs Jeanjean,0.0%,-,13.5%,50.0%,13.8%,33.9%,0.0%,7.7%,24.1%,0.0%,-,-67,-55
2023 Strasbourg R32,W vs Malygina,0.0%,-,8.1%,77.8%,9.3%,12.1%,0.0%,6.4%,50.0%,0.4%,0.0%,-64,-64
2021 Australian Open R128,L vs Marino,0.0%,-,1.4%,50.0%,5.6%,13.3%,0.0%,2.4%,15.4%,0.0%,-,-36,-27
2019 Australian Open R64,W vs Vekic,0.0%,-,4.6%,75.0%,11.5%,29.4%,0.0%,11.4%,27.8%,0.0%,-,26,36
2018 Brisbane R32,W vs Kasatkina,0.0%,-,5.7%,78.6%,10.6%,15.0%,0.0%,8.8%,22.7%,0.2%,0.0%,-9,-3
2016 Hobart R16,L vs Cibulkova,0.0%,-,4.2%,0.0%,12.0%,0.0%,0.0%,8.7%,50.0%,0.0%,-,-20,0
Last 52 Weeks (7 matches),,0.3%,100.0%,5.3%,70.5%,16.0%,25.6%,50.0%,10.5%,25.0%,0.1%,100.0%,2,-3
Career (19 matches),,0.1%,100.0%,6.7%,64.3%,12.1%,22.4%,9.1%,8.2%,24.0%,0.1%,33.3%,-22,-18
