Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 W25 Corroios Seixal R32,W vs Tahan,56% (5/9),100% (5/5),1/2,36% (4/11),25% (1/4),4/4,1/2,0/0,1/1,0/0
2019 W60 Stare Splavy R16,L vs Hradecka,30% (3/10),67% (2/3),0/4,67% (6/9),33% (2/6),1/2,0/0,0/0,0/0,0/0
2019 Roland Garros R64,L vs Pliskova,33% (3/9),0% (0/3),0/2,60% (6/10),33% (2/6),0/0,0/0,0/3,0/0,0/1
2019 W80 Dothan AL F,W vs Davis,40% (6/15),100% (6/6),3/5,43% (6/14),17% (1/6),4/5,1/2,1/1,1/1,0/0
2019 W80 Dothan AL SF,W vs Di Lorenzo,75% (9/12),67% (6/9),4/5,58% (7/12),29% (2/7),3/5,1/1,1/1,1/1,0/0
2019 W80 Dothan AL QF,W vs Birrell,50% (5/10),80% (4/5),1/3,36% (4/11),25% (1/4),2/4,1/1,2/2,1/1,0/0
2019 W80 Dothan AL Q2,W vs Piter,71% (5/7),100% (5/5),0/0,14% (1/7),100% (1/1),5/5,2/2,0/0,1/1,0/0
2019 W80 Dothan AL Q1,W vs Glatch,71% (5/7),100% (5/5),0/0,43% (3/7),100% (3/3),4/4,1/1,0/0,1/1,0/0
2019 W25 Pelham AL R32,W vs Arconada,53% (8/15),75% (6/8),0/2,29% (4/14),25% (1/4),4/5,1/2,0/1,0/1,0/0
2019 Monterrey R32,L vs Kerber,50% (5/10),80% (4/5),3/5,70% (7/10),14% (1/7),3/3,0/0,0/1,0/0,0/1
2019 Monterrey Q3,W vs Ruse,50% (4/8),100% (4/4),0/1,11% (1/9),0% (0/1),2/3,1/1,0/0,1/1,0/0
2019 Monterrey Q2,W vs Guarachi,100% (7/7),86% (6/7),0/0,17% (1/6),100% (1/1),4/4,0/0,0/0,0/0,0/0
2019 Monterrey Q1,W vs Mchale,56% (5/9),80% (4/5),0/1,11% (1/9),0% (0/1),2/2,0/0,0/0,0/0,0/0
2019 W25 Trnava R16,L vs Zavatska,54% (7/13),71% (5/7),3/6,62% (8/13),13% (1/8),3/5,1/1,1/2,0/0,0/1
2019 W25 Trnava R32,W vs Rosca,63% (5/8),100% (5/5),0/1,13% (1/8),0% (0/1),4/4,1/1,0/0,0/0,0/0
2019 W25 Trnava F,L vs Hradecka,53% (8/15),75% (6/8),4/5,47% (8/17),13% (1/8),3/6,1/1,2/3,0/0,2/2
2019 W25 Trnava QF,W vs Radanovic,50% (4/8),100% (4/4),1/1,33% (3/9),67% (2/3),3/3,1/1,0/0,1/1,0/0
2019 W25 Trnava R16,W vs Rosca,100% (7/7),100% (7/7),1/1,17% (1/6),0% (0/1),4/5,0/0,0/0,0/0,0/0
2018 Houston R32,L vs Davis,40% (4/10),75% (3/4),2/4,67% (6/9),17% (1/6),2/3,0/0,0/1,0/0,0/0
2018 Houston Q2,W vs Chirico,55% (6/11),67% (4/6),1/3,36% (4/11),25% (1/4),2/3,0/1,1/1,0/0,0/0
2019 (18 matches),,56.4%,83.2%,47.7%,39.6%,27.8%,79.7%,81.3%,50.0%,88.9%,40.0%
2018 (19 matches),,49.1%,79.1%,30.8%,57.0%,22.4%,63.2%,50.0%,38.9%,100.0%,50.0%
2017 (16 matches),,43.2%,74.7%,34.2%,54.5%,14.6%,59.3%,50.0%,55.0%,66.7%,77.8%
2016 (40 matches),,55.6%,78.6%,44.7%,49.5%,23.6%,65.4%,61.4%,58.1%,63.6%,40.0%
2015 (17 matches),,65.1%,81.8%,49.1%,50.6%,21.4%,67.9%,78.6%,52.9%,80.0%,66.7%
Career (151 matches),,55.7%,80.9%,42.8%,52.0%,21.3%,64.3%,61.9%,50.7%,71.0%,46.4%
