Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2026 Austin 125 1 F,W vs Andreescu,48% (10/21),45% (5/11),2/3,1/2,69% (9/13),2/3,0/0,- (0/0),- (0/0)
2026 Manila 125 QF,L vs Sierra,80% (4/5),50% (3/6),0/0,0/0,45% (5/11),1/3,1/2,- (0/0),- (0/0)
2025 Chennai QF,W vs Iatcenko,60% (6/10),55% (6/11),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2023 Hua Hin R32,L vs Bjorklund,50% (2/4),57% (4/7),0/0,0/0,22% (2/9),1/3,0/1,- (0/0),- (0/0)
2019 W15 Hua Hin R32,L vs Desai,43% (3/7),50% (1/2),0/0,0/0,44% (4/9),0/2,0/1,- (0/0),- (0/0)
2026 (2 matches),,53.8%,47.1%,66.7%,50.0%,58.3%,50.0%,50.0%,-,-
2025 (1 matches),,60.0%,54.5%,66.7%,50.0%,75.0%,-,-,-,-
2023 (1 matches),,50.0%,57.1%,-,-,22.2%,33.3%,0.0%,-,-
2019 (1 matches),,42.9%,50.0%,-,-,44.4%,0.0%,0.0%,-,-
Career (5 matches),,53.2%,51.4%,66.7%,50.0%,50.0%,36.4%,25.0%,-,-
