Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 W75 Sao Paulo QF,W vs Burillo Escorihuela,60% (6/10),60% (6/10),2/5,1/4,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2022 Wimbledon R128,L vs Kucova,29% (2/7),50% (3/6),0/0,0/0,22% (2/9),0/2,0/1,- (0/0),- (0/0)
2022 Bogota F,L vs Maria,50% (9/18),40% (2/5),1/2,0/0,67% (8/12),1/3,1/2,- (0/0),- (0/0)
2022 Bogota SF,W vs Osorio,40% (6/15),64% (7/11),2/6,1/5,67% (12/18),0/0,0/0,75% (3/4),80% (4/5)
2021 BJK Cup Playoffs: BRA vs POL RR,L vs Frech,42% (10/24),50% (5/10),1/4,0/0,64% (9/14),0/2,0/1,60% (3/5),17% (1/6)
2019 W25 Figueira Da Foz R16,L vs Dodin,38% (3/8),53% (8/15),1/3,0/0,9% (1/11),0/2,0/1,- (0/0),- (0/0)
2019 W25 Figueira Da Foz R32,W vs Bai,60% (6/10),55% (6/11),2/2,1/1,57% (4/7),0/0,0/0,60% (3/5),80% (4/5)
2019 W80 Palm Harbor FL R16,L vs Perez,29% (4/14),67% (4/6),0/0,0/0,45% (5/11),0/2,0/1,- (0/0),- (0/0)
2019 W15 Sharm El Sheikh F,L vs Morgina,14% (1/7),80% (4/5),0/0,0/0,58% (11/19),0/2,0/1,- (0/0),- (0/0)
2019 W15 Sharm El Sheikh SF,W vs Zakarlyuk,53% (8/15),80% (8/10),2/3,1/1,74% (14/19),3/4,0/0,- (0/0),- (0/0)
2019 W15 Sharm El Sheikh R32,W vs Ryser,64% (7/11),63% (5/8),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2019 W15 Palmanova F,L vs Payola,75% (3/4),60% (3/5),0/0,0/0,33% (3/9),0/2,0/1,- (0/0),- (0/0)
2019 W15 Palmanova SF,W vs Hering,58% (7/12),46% (6/13),2/9,1/2,60% (3/5),2/2,0/0,- (0/0),- (0/0)
2019 W15 Palmanova QF,W vs Wargnier,67% (6/9),86% (6/7),2/2,1/1,0% (0/3),0/0,0/0,- (0/0),- (0/0)
2019 W15 Palmanova R16,W vs Saigo,63% (5/8),70% (7/10),2/3,1/1,43% (3/7),0/0,0/0,- (0/0),- (0/0)
2019 W15 Palmanova R32,W vs Gadient,100% (6/6),50% (6/12),2/4,1/3,67% (6/9),0/0,0/0,- (0/0),- (0/0)
2019 W25 Petit Bourg Guadeloupe R32,L vs Robbe,67% (10/15),33% (5/15),1/1,0/0,60% (9/15),1/3,1/2,- (0/0),- (0/0)
2017 Santiago $25K R16,L vs Herazo Gonzalez,41% (7/17),58% (7/12),1/2,0/0,36% (4/11),3/5,3/4,- (0/0),- (0/0)
2017 Santiago $25K R32,W vs Ganga,40% (6/15),86% (6/7),2/2,1/1,56% (5/9),2/2,0/0,71% (5/7),43% (3/7)
2017 Dakar $25K R16,W vs Dart,50% (7/14),83% (5/6),2/2,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2024 (1 matches),,60.0%,60.0%,40.0%,25.0%,66.7%,-,-,-,-
2022 (3 matches),,42.5%,54.5%,37.5%,20.0%,56.4%,20.0%,33.3%,75.0%,80.0%
2021 (1 matches),,41.7%,50.0%,25.0%,-,64.3%,0.0%,0.0%,60.0%,16.7%
2019 (12 matches),,55.5%,58.1%,55.2%,70.0%,51.7%,35.3%,16.7%,60.0%,80.0%
2017 (32 matches),,51.1%,53.4%,50.0%,58.6%,53.6%,47.8%,50.0%,46.2%,41.0%
Career (122 matches),,51.7%,51.0%,54.2%,55.0%,51.9%,38.7%,36.5%,52.9%,46.7%
