Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,6,Hard,6,0,6,0.0%,0,0,0,-,2005,2016,R128,3,0.86,2.4%,6.0%,59.1%,51.0%,47.6%,49.6%,43.3%,41.7%,50.0%
Roland Garros,8,Clay,13,5,8,38.5%,0,0,0,-,2005,2016,R128,4,0.92,1.5%,5.0%,67.7%,49.8%,43.6%,47.8%,48.1%,50.9%,52.5%
Wimbledon,7,Grass,8,1,7,12.5%,0,0,0,-,2005,2015,R128,3,0.77,3.5%,6.4%,60.1%,49.0%,40.6%,45.7%,41.6%,52.9%,22.6%
US Open,7,Hard,13,6,7,46.2%,4,0,4,0.0%,2004,2015,R64,4,0.86,0.3%,3.8%,63.8%,51.9%,46.2%,49.8%,43.1%,48.8%,52.0%
Bogota,8,Clay,16,8,8,50.0%,3,1,2,33.3%,2005,2016,QF,8,0.99,2.1%,6.9%,60.8%,61.8%,42.5%,54.3%,45.3%,57.5%,47.2%
Acapulco,6,Clay,19,13,6,68.4%,4,1,3,25.0%,2005,2013,QF,12,1.10,0.9%,3.9%,67.5%,60.7%,49.8%,57.2%,47.3%,53.7%,55.2%
Fes,4,Clay,13,9,4,69.2%,3,3,0,100.0%,2007,2012,F,9,1.18,0.9%,5.1%,63.1%,62.1%,50.0%,57.6%,50.0%,53.2%,45.4%
Bad Gastein,4,Clay,13,9,4,69.2%,7,4,3,57.1%,2007,2012,QF,10,1.10,0.7%,4.4%,63.2%,63.2%,45.3%,56.6%,47.8%,52.0%,59.0%
Hobart,4,Hard,10,6,4,60.0%,2,1,1,50.0%,2006,2016,R32,6,1.11,0.6%,5.3%,66.4%,56.5%,43.3%,52.1%,53.3%,47.9%,63.8%
Barcelona,4,Clay,10,6,4,60.0%,5,2,3,40.0%,2007,2012,SF,7,1.09,0.4%,2.3%,69.0%,55.6%,52.0%,54.5%,49.4%,41.5%,48.8%
