Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Wimbledon QF,L vs Sabalenka,27,35,0.8,13.6%,17.7%,27,30,0.9,14.4%,16.0%,7.5%,7.0%,0.9,14.1%,15.7%
2025 Miami Q2,L vs Fruhvirtova,13,22,0.6,13.5%,22.9%,12,19,0.6,14.0%,22.1%,7.0%,7.0%,1.1,13.5%,12.5%
2025 Australian Open R64,W vs Zheng,28,25,1.1,17.6%,15.7%,27,22,1.2,19.1%,15.6%,14.2%,5.0%,1.3,17.6%,13.8%
2024 Hua Hin 2 F,L vs Sramkova,13,25,0.5,10.2%,19.7%,11,23,0.5,9.6%,20.0%,4.3%,5.2%,1.2,20.5%,17.3%
2024 Hua Hin 2 SF,W vs Hartono,15,28,0.5,12.8%,23.9%,13,26,0.5,11.7%,23.4%,8.1%,3.6%,0.4,9.4%,25.6%
2024 Hua Hin 2 R16,W vs Wang,31,47,0.7,13.7%,20.7%,31,39,0.8,14.8%,18.6%,10.0%,4.8%,0.6,13.7%,23.8%
2024 US Open R128,L vs Joint,15,24,0.6,12.4%,19.8%,14,21,0.7,12.1%,18.1%,5.2%,6.0%,0.6,12.4%,19.8%
2024 Wimbledon R64,L vs Rybakina,13,30,0.4,6.9%,15.9%,12,27,0.4,6.8%,15.3%,4.0%,2.8%,0.7,15.9%,24.3%
2024 Wimbledon R128,W vs Baindl,21,16,1.3,21.0%,16.0%,21,14,1.5,21.6%,14.4%,12.4%,9.3%,0.6,10.0%,17.0%
2024 Stuttgart R32,L vs Kostyuk,37,64,0.6,15.2%,26.2%,37,58,0.6,16.6%,26.0%,9.9%,6.3%,0.5,13.1%,26.2%
2023 US Open R128,L vs Gauff,37,36,1.0,19.2%,18.7%,37,32,1.2,20.7%,17.9%,13.4%,7.3%,1.0,17.6%,17.6%
2023 Warsaw F,L vs Swiatek,8,22,0.4,10.4%,28.6%,6,20,0.3,8.3%,27.8%,6.9%,1.4%,2.0,20.8%,10.4%
2023 Australian Open R32,L vs Garcia,20,26,0.8,12.1%,15.8%,18,26,0.7,11.8%,17.0%,6.5%,3.9%,0.9,19.4%,21.2%
2022 US Open R128,L vs Cirstea,14,30,0.5,12.5%,26.8%,13,23,0.6,13.1%,23.2%,12.1%,1.0%,0.5,10.7%,19.6%
2021 Tokyo Olympics R64,L vs Svitolina,38,50,0.8,17.7%,23.3%,37,41,0.9,18.6%,20.6%,11.1%,6.5%,0.8,14.9%,19.5%
2021 Wimbledon R128,L vs Alexandrova,7,22,0.3,8.0%,25.0%,6,20,0.3,7.7%,25.6%,6.4%,1.3%,1.4,28.4%,20.5%
2021 Roland Garros R128,L vs Garcia,8,26,0.3,8.4%,27.4%,8,26,0.3,9.4%,30.6%,,,0.9,13.7%,14.7%
2021 Madrid R32,L vs Swiatek,15,40,0.4,11.6%,31.0%,14,34,0.4,11.9%,28.8%,5.9%,5.9%,0.7,9.3%,14.0%
2021 Stuttgart R16,L vs Barty,13,28,0.5,11.8%,25.5%,13,24,0.5,13.4%,24.7%,7.2%,6.2%,0.9,17.3%,20.0%
2021 Australian Open R128,L vs Williams,4,17,0.2,5.2%,22.1%,4,17,0.2,5.8%,24.6%,,,0.9,15.6%,18.2%
Career (72 matches),,1667,2196,0.8,16.5%,21.8%,1620,1970,0.8,17.2%,21.0%,8.6%,5.9%,0.8,13.3%,17.7%
