Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
13-Oct-2025,Tampico 125,Hard,R16,292,203,(6) Cadence Brace [CAN] d. Kung,6-2 6-1,0.57,2.5%,5.0%,52.5%,42.9%,26.3%,2/8,1:11
13-Oct-2025,Tampico 125,Hard,R32,292,833,Kung d. (Q) Kristina Novak [SLO],6-4 6-3,1.23,8.9%,5.4%,64.3%,66.7%,45.0%,4/6,1:39
29-Sep-2025,Cosenza 125,Clay,R32,276,358,(Q) Tiphanie Fiquet [FRA] d. (LL) Kung,6-2 6-3,0.68,3.3%,1.7%,70.0%,50.0%,55.6%,6/10,1:25
29-Sep-2025,Cosenza 125,Clay,Q2,276,358,(6) Tiphanie Fiquet [FRA] d. (2) Kung,6-2 6-1,0.51,2.1%,6.3%,58.3%,32.1%,55.0%,2/7,1:15
29-Sep-2025,Cosenza 125,Clay,Q1,276,1153,(2) Kung d. Yana Morderger [GER],6-4 6-2,1.40,7.8%,5.9%,52.9%,77.8%,45.8%,5/7,1:43
22-Sep-2025,W35 Santa Margherita di Pula,Clay,R32,276,667,Deborah Chiesa [ITA] d. Kung,7-5 6-1,0.73,0.0%,4.3%,63.8%,56.8%,44.0%,4/8,1:59
08-Sep-2025,Ljubljana 125,Clay,R32,276,134,(8) Maja Chwalinska [POL] d. Kung,7-5 6-4,0.86,0.0%,0.0%,64.4%,55.3%,42.3%,5/11,1:46
01-Sep-2025,W75 Vienna,Clay,R16,286,129,Sinja Kraus [AUT] d. Kung,6-3 6-4,0.73,0.0%,1.7%,60.0%,50.0%,50.0%,3/7,1:35
01-Sep-2025,W75 Vienna,Clay,R32,286,307,Kung d. Valeriya Strakhova [UKR],6-1 2-0 RET,1.86,0.0%,0.0%,68.2%,60.0%,71.4%,0/1,0:52
25-Aug-2025,W50 Bytom,clay,R32,286,908,Alize Lim [FRA] d. Kung,6-3 6-3,0.69,1.5%,6.1%,68.2%,48.9%,28.6%,7/13,1:57
18-Aug-2025,W50 Bistrita,clay,R32,286,563,Yelyzaveta Kotliar [UKR] d. Kung,6-3 6-2,0.69,0.0%,4.3%,59.6%,46.4%,36.8%,2/7,1:39
14-Jul-2025,W75 Granby,Hard,R32,248,440,Katrina Scott [USA] d. Kung,6-1 6-3,0.65,0.0%,10.5%,52.6%,50.0%,11.1%,1/4,1:11
07-Jul-2025,Newport 125,Grass,R32,263,255,Elizabeth Mandlik [USA] d. Kung,6-0 6-1,0.48,0.0%,9.8%,73.2%,40.0%,36.4%,3/8,0:54
30-Jun-2025,W100 Cary NC,Hard,R32,263,366,Xiaodi You [CHN] d. Kung,6-3 7-5,0.81,1.4%,2.8%,67.6%,43.8%,34.8%,9/16,2:06
30-Jun-2025,Wimbledon,Grass,Q2,263,134,(30) Priscilla Hon [AUS] d. Kung,6-1 6-3,0.58,6.4%,8.5%,48.9%,47.8%,41.7%,0/5,1:05
30-Jun-2025,Wimbledon,Grass,Q1,263,189,Kung d. Guiomar Maristany Zuleta De Reales [ESP],6-1 3-6 7-6(3),1.09,0.0%,2.9%,68.6%,64.3%,46.9%,4/8,2:22
