Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Beijing R64,L vs Andreeva,13% (1/8),100% (1/1),1/5,75% (6/8),17% (1/6),0/1,0/0,1/1,0/0,1/1
2024 Wimbledon R32,L vs Sun,50% (6/12),50% (3/6),1/3,25% (3/12),0% (0/3),2/3,0/0,3/3,0/0,2/2
2024 Wimbledon R64,W vs Pavlyuchenkova,40% (4/10),100% (4/4),0/1,22% (2/9),50% (1/2),2/3,1/1,0/0,0/0,0/0
2024 Wimbledon R128,W vs Begu,75% (6/8),83% (5/6),0/1,13% (1/8),0% (0/1),5/5,2/3,0/0,1/2,0/0
2024 Indian Wells R128,L vs Wozniacki,33% (3/9),67% (2/3),1/4,70% (7/10),29% (2/7),2/2,0/0,2/3,0/0,0/1
2024 Doha R32,L vs Rybakina,0% (0/8),- (0/0),0/3,57% (4/7),0% (0/4),0/0,0/0,0/1,0/0,0/0
2024 Hua Hin F,L vs Shnaider,33% (4/12),75% (3/4),0/4,42% (5/12),0% (0/5),1/2,0/0,0/1,0/0,0/1
2024 Hobart R16,W vs Dolehide,38% (6/16),83% (5/6),0/2,40% (6/15),50% (3/6),3/3,0/0,1/2,0/0,0/0
2024 Brisbane R16,L vs Sabalenka,29% (2/7),50% (1/2),0/6,100% (6/6),0% (0/6),0/1,0/0,0/0,0/0,0/0
2023 Zhuhai SF,L vs Zheng,53% (8/15),50% (4/8),2/5,43% (6/14),0% (0/6),3/4,1/2,0/1,0/0,0/0
2023 Osaka F,L vs Krueger,0% (0/11),- (0/0),0/1,20% (2/10),50% (1/2),0/0,0/0,1/1,0/0,0/0
2023 US Open R32,L vs Bencic,50% (7/14),57% (4/7),0/3,40% (6/15),33% (2/6),1/3,0/0,2/3,0/0,0/1
2023 US Open R64,W vs Azarenka,56% (5/9),60% (3/5),0/0,11% (1/9),100% (1/1),2/2,1/1,0/0,1/1,0/0
2023 US Open R128,W vs Sherif,55% (6/11),83% (5/6),1/2,20% (2/10),0% (0/2),2/3,0/1,0/0,0/1,0/0
2023 Wimbledon R128,L vs Swiatek,38% (3/8),33% (1/3),1/4,75% (6/8),17% (1/6),0/1,0/0,1/2,0/0,0/1
2023 Roland Garros R128,L vs Davis,44% (4/9),100% (4/4),4/6,78% (7/9),0% (0/7),1/4,0/0,0/1,0/0,0/0
2023 Madrid R128,L vs Marino,36% (4/11),50% (2/4),0/2,55% (6/11),50% (3/6),1/2,0/1,2/2,0/0,1/1
2023 Hua Hin F,W vs Tsurenko,80% (8/10),100% (8/8),5/6,70% (7/10),14% (1/7),1/6,0/2,0/0,0/1,0/0
2023 Hua Hin SF,W vs Wang,78% (7/9),86% (6/7),2/3,33% (3/9),0% (0/3),3/6,2/2,0/0,1/1,0/0
2023 Australian Open R16,L vs Azarenka,57% (8/14),63% (5/8),3/7,54% (7/13),0% (0/7),3/5,1/1,1/1,0/0,0/0
2025 (1 matches),,12.5%,100.0%,20.0%,75.0%,16.7%,0.0%,-,100.0%,-,100.0%
2024 (8 matches),,37.8%,74.2%,8.3%,43.0%,17.6%,78.9%,75.0%,60.0%,50.0%,50.0%
2023 (12 matches),,50.4%,69.1%,44.4%,45.1%,15.0%,48.8%,50.0%,61.5%,60.0%,33.3%
2022 (3 matches),,25.0%,71.4%,14.3%,60.7%,17.6%,80.0%,100.0%,100.0%,-,100.0%
2021 (4 matches),,57.4%,77.8%,50.0%,47.8%,27.3%,72.2%,75.0%,60.0%,100.0%,50.0%
Career (164 matches),,47.4%,77.5%,31.9%,48.3%,23.0%,66.8%,60.5%,59.6%,63.0%,57.4%
