Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Iga Swiatek [POL],1,6,14.3%,3,2,1,66.7%,2023,2025,7,0.89,9.4%,5.7%,59.8%,67.8%,45.7%,58.9%,36.4%,45.1%,38.5%
6,Mirra Andreeva [RUS],2,4,33.3%,0,0,0,-,2024,2026,6,0.93,4.6%,6.5%,58.8%,66.5%,43.8%,57.2%,39.8%,47.8%,43.9%
4,Sorana Cirstea [ROU],2,2,50.0%,1,0,1,0.0%,2024,2026,4,0.92,7.7%,5.3%,59.4%,67.9%,50.3%,60.7%,36.2%,66.7%,28.6%
4,Magdalena Frech [POL],3,1,75.0%,2,0,2,0.0%,2021,2026,3,1.26,6.9%,6.5%,57.5%,76.1%,57.1%,68.0%,40.4%,80.0%,40.0%
4,Yulia Putintseva [KAZ],3,1,75.0%,3,2,1,66.7%,2024,2025,4,1.11,5.5%,5.9%,55.0%,65.1%,55.1%,60.6%,43.8%,62.9%,56.3%
4,Xiyu Wang [CHN],2,2,50.0%,1,1,0,100.0%,2021,2025,4,0.87,2.1%,7.9%,59.6%,67.1%,46.4%,58.8%,36.1%,44.4%,28.6%
4,Eva Lys [GER],4,0,100.0%,0,0,0,-,2022,2025,3,1.33,7.9%,7.2%,53.2%,64.9%,52.3%,59.0%,54.7%,53.3%,57.7%
4,Lulu Sun [NZL],2,2,50.0%,4,3,1,75.0%,2024,2025,4,1.02,9.6%,5.4%,57.1%,74.4%,59.2%,67.9%,32.7%,71.4%,23.1%
4,Marie Bouzkova [CZE],1,3,25.0%,2,1,1,50.0%,2022,2025,4,0.87,4.1%,5.7%,59.8%,68.3%,39.4%,56.6%,37.5%,61.5%,39.3%
4,Rebecca Sramkova [SVK],2,2,50.0%,1,1,0,100.0%,2021,2025,2,1.27,8.7%,7.1%,63.5%,70.0%,63.0%,67.5%,41.3%,25.0%,50.0%
4,Diane Parry [FRA],2,2,50.0%,1,0,1,0.0%,2022,2023,3,0.99,5.8%,4.6%,57.9%,64.7%,51.5%,59.2%,40.3%,73.1%,40.0%
3,Darja Semenistaja [LAT],3,0,100.0%,0,0,0,-,2022,2026,1,1.72,20.9%,4.7%,62.8%,77.8%,43.8%,65.1%,60.0%,80.0%,85.7%
3,Mccartney Kessler [USA],2,1,66.7%,1,0,1,0.0%,2024,2025,3,1.01,6.7%,4.6%,59.2%,72.0%,44.8%,60.9%,39.4%,61.5%,42.9%
3,Elena Rybakina [KAZ],0,3,0.0%,0,0,0,-,2023,2025,3,0.61,4.2%,8.3%,52.8%,67.5%,43.1%,56.0%,26.9%,70.4%,0.0%
3,Qinwen Zheng [CHN],1,2,33.3%,0,0,0,-,2021,2025,2,0.89,3.6%,8.8%,56.2%,71.4%,38.3%,56.9%,38.1%,38.5%,46.2%
