Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2026 Australian Open R128,W vs Oliynykova,26,32,0.8,18.4%,22.7%,24,24,1.0,18.6%,18.6%,15.5%,2.3%,0.3,5.0%,17.7%
2026 Adelaide R16,W vs Valentova,29,25,1.2,24.4%,21.0%,26,16,1.6,25.0%,15.4%,17.3%,4.8%,0.6,10.1%,16.0%
2025 Riyadh Finals RR,L vs Anisimova,14,39,0.4,9.0%,25.0%,9,27,0.3,6.8%,20.3%,3.8%,2.3%,0.3,8.3%,25.6%
2025 Riyadh Finals RR,L vs Swiatek,8,30,0.3,9.2%,34.5%,7,23,0.3,9.5%,31.1%,5.4%,4.1%,0.9,11.5%,12.6%
2025 Montreal QF,L vs Tauson,23,26,0.9,21.9%,24.8%,18,22,0.8,20.2%,24.7%,14.6%,4.5%,1.1,14.3%,13.3%
2025 Roland Garros QF,L vs Gauff,25,55,0.5,12.6%,27.6%,25,51,0.5,13.6%,27.7%,12.5%,1.1%,0.3,7.0%,20.6%
2025 Roland Garros R16,W vs Baptiste,23,15,1.5,16.5%,10.8%,16,13,1.2,12.8%,10.4%,11.2%,1.6%,0.7,10.1%,15.1%
2025 Charleston R16,L vs Kalinskaya,22,18,1.2,18.8%,15.4%,19,18,1.1,16.8%,15.9%,11.5%,5.3%,0.8,8.5%,10.3%
2025 Miami R32,L vs Eala,22,30,0.7,17.2%,23.4%,17,26,0.7,14.5%,22.2%,12.0%,2.6%,1.0,10.9%,10.9%
2025 Indian Wells SF,L vs Sabalenka,10,20,0.5,12.5%,25.0%,8,18,0.4,10.7%,24.0%,5.3%,5.3%,1.8,17.5%,10.0%
2025 Indian Wells QF,W vs Bencic,30,12,2.5,30.0%,12.0%,28,10,2.8,30.4%,10.9%,17.4%,13.0%,1.0,9.0%,9.0%
2025 Indian Wells R64,W vs Potapova,27,12,2.3,27.6%,12.2%,27,8,3.4,29.0%,8.6%,16.1%,12.9%,0.3,5.1%,19.4%
2025 Australian Open F,W vs Sabalenka,29,23,1.3,15.8%,12.6%,23,23,1.0,13.6%,13.6%,7.7%,5.9%,0.9,14.2%,15.3%
2025 Australian Open SF,W vs Swiatek,37,39,0.9,17.5%,18.5%,30,35,0.9,15.5%,18.1%,10.9%,3.6%,0.5,9.5%,19.4%
2025 Australian Open QF,W vs Svitolina,48,32,1.5,26.8%,17.9%,42,28,1.5,25.5%,17.0%,17.0%,8.5%,1.4,11.2%,7.8%
2025 Australian Open R16,W vs Rybakina,26,27,1.0,14.9%,15.5%,22,21,1.0,14.2%,13.5%,9.7%,3.9%,0.6,11.5%,17.8%
2025 Australian Open R32,W vs Collins,21,15,1.4,17.5%,12.5%,17,11,1.5,16.0%,10.4%,11.3%,3.8%,0.9,10.0%,10.8%
2025 Australian Open R64,W vs Ruse,39,43,0.9,18.2%,20.1%,38,39,1.0,18.9%,19.4%,9.0%,7.0%,0.6,9.3%,16.4%
2025 Australian Open R128,W vs Li,20,20,1.0,16.3%,16.3%,14,19,0.7,12.6%,17.1%,6.3%,5.4%,0.7,8.1%,12.2%
2025 Adelaide F,W vs Pegula,40,27,1.5,24.1%,16.3%,30,24,1.3,20.5%,16.4%,10.3%,7.5%,0.4,6.0%,15.7%
Career (206 matches),,5603,6155,0.9,19.4%,21.3%,4553,5701,0.8,17.3%,21.7%,10.3%,4.5%,0.6,8.7%,15.0%
