Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R128,L vs Jovic,89.8,96.7,7.9,98.9,89.9,107,80,75.9,4.2,,75.0,82,69
2023 US Open R64,L vs Brady,91.5,96.7,5.5,100.4,93.3,110,82,81.7,5.1,88.7,83.5,92,71
2023 US Open R128,W vs Sasnovich,92.7,98.0,4.1,99.9,96.7,106,90,80.4,2.1,,79.0,84,77
2022 US Open R128,L vs Pliskova,91.8,95.4,7.3,102.8,91.8,110,79,76.1,4.9,83.0,72.0,87,69
2022 Wimbledon R64,L vs Kerber,89.3,95.9,7.6,99.8,94.3,109,74,81.3,3.4,80.4,79.5,87,72
2021 US Open R128,L vs Gauff,88.9,94.6,5.1,97.6,93.3,105,81,79.8,4.5,83.5,81.3,89,71
2021 Wimbledon R64,W vs Svitolina,93.7,99.1,4.7,99.6,98.1,107,90,85.4,3.5,87.0,84.5,92,77
2019 US Open R64,L vs Osaka,92.3,100.3,7.9,103.8,99.6,112,83,81.2,5.5,83.5,84.3,91,70
2019 Wimbledon R32,L vs Kvitova,96.7,102.7,5.9,107.0,98.1,110,90,88.4,3.5,86.2,90.1,95,79
2019 Wimbledon R64,W vs Anisimova,94.8,100.5,7.8,104.9,99.1,111,79,84.9,4.9,90.0,85.3,95,75
2019 Roland Garros R64,L vs Halep,89.8,96.3,6.6,,,108,81,82.1,4.0,,,90,74
2019 Roland Garros R128,W vs Paquet,88.7,93.4,6.6,,,107,81,77.8,4.4,,,85,68
2018 US Open R128,L vs Williams,95.2,102.0,4.3,103.1,98.0,108,94,81.6,3.9,80.5,79.5,88,75
2017 US Open R128,L vs Pliskova,88.7,95.8,8.5,97.8,84.0,105,77,76.1,3.4,79.0,77.0,81,71
2017 Roland Garros R32,L vs Svitolina,85.5,88.4,8.1,91.2,88.8,102,72,73.4,4.9,,71.0,85,66
2016 US Open R128,L vs Cibulkova,86.7,92.6,8.1,92.8,90.0,108,80,79.1,5.2,81.0,80.5,87,66
2016 Wimbledon R128,L vs Stosur,86.4,90.4,8.8,94.4,87.0,105,74,77.2,5.7,80.5,80.5,88,67
2015 US Open R64,L vs Radwanska,90.9,98.6,8.1,,,109,77,77.5,4.7,,,85,68
2015 Roland Garros R128,L vs Pennetta,84.0,88.4,5.5,,,104,80,75.1,3.7,,,84,68
Career (19 matches),,90.2,95.7,6.7,100.7,93.9,112,72,80.3,4.3,83.9,82.2,95,66
