Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,10,4,6,40.0%,10-11,47.6%,103-88,53.9%,0-2,0.0%,10,61.1%,47.4%,1.7%,5.1%,66.8%,58.4%,46.5%,54.5%,49.2%,51.8%,1.08,R16 (4x)
2025,35,16,19,45.7%,38-41,48.1%,354-369,49.0%,8-2,80.0%,35,58.2%,38.6%,0.9%,4.9%,64.3%,59.0%,44.9%,54.0%,46.2%,50.0%,1.00,F (W75 Trnava)
2024,24,11,13,45.8%,27-31,46.6%,260-267,49.3%,2-1,66.7%,3,61.8%,40.0%,0.4%,3.5%,66.2%,62.1%,43.6%,55.8%,46.7%,51.3%,1.06,SF (2x)
2023,47,30,17,63.8%,62-42,59.6%,515-431,54.4%,1-6,14.3%,3,66.7%,43.3%,1.7%,6.1%,63.7%,63.2%,50.8%,58.7%,47.4%,52.5%,1.15,W (W40 Maribor)
2022,37,25,12,67.6%,55-26,67.9%,421-297,58.6%,5-4,55.6%,3,57.6%,42.9%,0.0%,3.7%,74.0%,58.6%,35.1%,52.5%,48.3%,50.3%,1.02,W (W60 Sydney)
2021,37,28,9,75.7%,57-22,72.2%,415-295,58.5%,4-2,66.7%,0,,,,,,,,,,,,W (2x)
2020,12,7,5,58.3%,19-13,59.4%,162-129,55.7%,0-2,0.0%,0,,,,,,,,,,,,F (W25 Yokohama)
2019,36,16,20,44.4%,38-45,45.8%,367-383,48.9%,2-2,50.0%,0,,,,,,,,,,,,SF (W25 Makinohara)
2018,33,19,14,57.6%,42-34,55.3%,355-325,52.2%,5-4,55.6%,0,,,,,,,,,,,,F (Nanao $25K)
2017,10,4,6,40.0%,11-13,45.8%,109-120,47.6%,3-2,60.0%,0,,,,,,,,,,,,QF (Hong Kong 15K)
2016,9,5,4,55.6%,11-9,55.0%,99-90,52.4%,2-0,100.0%,0,,,,,,,,,,,,SF (Hua Hin $10K)
Career,290,165,125,56.9%,370-287,56.3%,3160-2794,53.1%,32-27,54.2%,54,59.4%,40.8%,1.0%,4.9%,65.5%,59.3%,44.9%,54.3%,46.9%,50.6%,1.03,
