Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2025-10-20),1400,5,,,,,,,,,361,211,,
2024,1240,8,,,,,,,,,402,172
2023,905,24,,,,,,,,,,
2022,572,62,,,,,,,,,,
2021,702,49,,,,,,,,,,
2020,559,66,,,,,,,,,268,309
2019,561,59,,,,,,,,,261,289
2018,433,68,,,,,,,,,459,97
2017,794,20,,,,,,,,,444,113
2016,436,77,,,,,,,,,281,210
2015,468,63,,,,,,,,,231,269
2014,473,58,,,,,,,,,306,166
2013,564,54,,,,,,,,,483,99
2012,678,32,,,,,,,,,1227,3
2011,783,23,,,,,,,,,1138,11
2010,1125,3,,,,,,,,,,
