Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
02-Feb-2026,Mumbai 125,Hard,F,236,128,Sawangkaew d. (7) Lilli Tagger [AUT],6-4 6-3,1.34,1.8%,3.6%,76.8%,74.4%,61.5%,2/2,1:25
05-Jan-2026,W75 Nonthaburi,Hard,F,247,266,Sawangkaew d. Lisa Pigato [ITA],6-1 6-4,1.46,4.0%,2.0%,66.0%,69.7%,35.3%,4/7,1:21
28-Apr-2025,W100 Gifu,Hard,F,113,164,Shuai Zhang [CHN] d. Sawangkaew,6-3 6-4,0.82,2.8%,5.6%,77.5%,61.8%,31.3%,8/11,1:20
03-Feb-2025,Mumbai 125,Hard,F,121,117,(5) Jil Teichmann [SUI] d. (8) Sawangkaew,6-3 6-4,0.76,4.9%,3.3%,68.9%,50.0%,47.4%,2/7,1:37
29-Jul-2024,W75 Lexington KY,Hard,F,221,177,(7) Sijia Wei [CHN] d. Sawangkaew,7-5 6-4,,,,,,,,
08-Jan-2024,W50 Nonthaburi,Hard,F,266,211,(5) Sawangkaew d. (2) Antonia Ruzic [CRO],6-1 2-6 6-2,,,,,,,,
21-Aug-2023,W40 Hong Kong,Hard,F,303,288,(7) Ya Yi Yang [TPE] d. Sawangkaew,6-3 4-6 6-3,,,,,,,,
03-Jul-2023,W25 Nakhon Si Thammarat,Hard,F,370,394,(6) Sawangkaew d. (7) Sahaja Yamalapalli [IND],6-4 6-0,,,,,,,,
22-May-2023,W25 Goyang,Hard,F,400,349,(5) Hanna Chang [USA] d. Sawangkaew,6-2 6-4,,,,,,,,
09-Jan-2023,W40 Nonthaburi,Hard,F,568,527,(WC) Lanlana Tararudee [THA] d. (Q) Sawangkaew,2-6 6-1 6-0,,,,,,,,
