Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2023 US Open R128,L vs Miyazaki,9,27,0.3,7.6%,22.7%,6,22,0.3,5.7%,20.8%,2.8%,2.8%,0.6,14.3%,22.7%
2023 Wimbledon R128,L vs Juvan,7,23,0.3,7.0%,23.0%,6,19,0.3,6.7%,21.1%,5.6%,1.1%,1.3,13.0%,10.0%
2021 Roland Garros R128,L vs Li,5,22,0.2,6.3%,27.8%,5,22,0.2,7.4%,32.4%,,,1.4,16.5%,11.4%
2021 St. Petersburg SF,W vs Zvonareva,30,40,0.8,18.0%,24.0%,27,36,0.8,17.3%,23.1%,10.9%,5.1%,0.4,6.6%,15.0%
2021 Australian Open R128,L vs Muguruza,16,23,0.7,16.2%,23.2%,16,23,0.7,17.0%,24.5%,,,0.9,12.1%,13.1%
2020 Roland Garros R128,L vs Mertens,22,28,0.8,17.2%,21.9%,22,28,0.8,18.0%,23.0%,,,1.0,15.6%,15.6%
2020 Australian Open R128,L vs Sakkari,4,25,0.2,4.3%,26.6%,4,25,0.2,4.5%,28.4%,,,0.9,16.0%,17.0%
2020 Shenzhen R32,L vs Sabalenka,14,17,0.8,12.6%,15.3%,13,13,1.0,12.6%,12.6%,9.7%,2.9%,1.5,21.6%,14.4%
2019 US Open R64,L vs Konta,3,17,0.2,3.8%,21.3%,3,12,0.3,4.3%,17.1%,2.9%,0.0%,1.7,30.0%,17.5%
2019 US Open R128,W vs Hon,8,22,0.4,5.4%,15.0%,7,16,0.4,5.1%,11.8%,2.9%,1.5%,0.4,12.2%,29.9%
2019 Wimbledon R64,L vs Svitolina,42,33,1.3,25.8%,20.2%,38,30,1.3,24.7%,19.5%,15.6%,9.1%,0.8,9.2%,12.3%
2019 Wimbledon R128,W vs Friedsam,17,11,1.5,13.7%,8.9%,12,11,1.1,10.2%,9.3%,5.9%,3.4%,0.9,17.7%,20.2%
2019 Birmingham R16,L vs Martic,24,28,0.9,17.1%,20.0%,21,24,0.9,16.5%,18.9%,10.2%,6.3%,1.6,19.3%,12.1%
2019 Birmingham R32,W vs Svitolina,33,31,1.1,19.3%,18.1%,29,25,1.2,18.8%,16.2%,13.0%,5.8%,0.7,11.7%,17.0%
2019 Roland Garros R128,L vs Blinkova,28,12,2.3,14.0%,6.0%,28,12,2.3,15.3%,6.6%,,,1.0,19.0%,18.5%
2019 Madrid R64,L vs Halep,10,29,0.3,9.7%,28.2%,10,25,0.4,10.6%,26.6%,6.4%,4.3%,0.5,9.7%,19.4%
2019 Australian Open R64,L vs Mertens,16,29,0.6,12.6%,22.8%,10,28,0.4,8.8%,24.6%,5.3%,3.5%,0.8,11.8%,14.2%
2018 Mumbai SF,L vs Kumkhum,13,17,0.8,12.6%,16.5%,12,14,0.9,12.8%,14.9%,7.4%,4.3%,1.4,24.3%,17.5%
2018 Luxembourg QF,L vs Yastremska,5,16,0.3,5.4%,17.4%,2,12,0.2,2.5%,14.8%,2.5%,0.0%,1.1,19.6%,18.5%
2018 Linz QF,L vs Giorgi,11,28,0.4,7.1%,18.1%,9,23,0.4,6.4%,16.4%,3.6%,2.9%,0.8,24.5%,29.0%
Career (39 matches),,732,992,0.7,14.1%,19.1%,624,858,0.7,13.2%,18.2%,7.2%,3.9%,0.8,15.5%,19.2%
