Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2025 Iasi R16,W vs Avanesyan,60% (6/10),100% (6/6),2/4,60% (6/10),33% (2/6),4/5,1/1,2/2,1/1,0/0
2025 Merida R32,L vs Arango,75% (6/8),33% (2/6),1/5,78% (7/9),14% (1/7),1/2,0/0,0/1,0/0,0/1
2024 US Open R128,L vs Svitolina,50% (7/14),86% (6/7),2/5,71% (10/14),30% (3/10),1/5,0/1,2/4,0/0,1/2
2024 Wimbledon R128,L vs Volynets,50% (5/10),80% (4/5),4/7,80% (8/10),13% (1/8),1/4,0/0,0/0,0/0,0/0
2024 Madrid R128,W vs Raducanu,75% (6/8),100% (6/6),2/2,50% (4/8),50% (2/4),4/6,2/2,0/0,1/1,0/0
2024 Miami R128,L vs Fruhvirtova,33% (3/9),100% (3/3),1/5,78% (7/9),14% (1/7),0/3,0/0,0/1,0/0,0/1
2021 BJK Cup Playoffs: KAZ vs ARG RR,W vs Rybakina,69% (9/13),78% (7/9),2/4,42% (5/12),20% (1/5),5/6,1/1,0/0,0/0,0/0
2019 W15 Cancun SF,L vs Malmqvist,40% (4/10),75% (3/4),2/4,67% (6/9),17% (1/6),1/3,0/0,2/3,0/0,1/1
2019 W15 Cancun R16,W vs Kozyreva,44% (8/18),100% (8/8),2/5,47% (8/17),25% (2/8),4/7,2/4,0/1,1/2,0/0
2019 W15 Cancun QF,L vs Gamarra Martins,47% (7/15),86% (6/7),3/7,60% (9/15),22% (2/9),2/5,0/1,1/1,0/0,0/0
2019 W15 Cancun R16,W vs Piai,50% (6/12),100% (6/6),1/2,20% (2/10),0% (0/2),5/5,1/1,0/0,1/1,0/0
2019 W15 Cancun R32,W vs Abdelouahid,88% (7/8),86% (6/7),1/2,38% (3/8),33% (1/3),3/5,1/1,0/0,1/1,0/0
2019 W15 Wesley Chapel FL F,W vs Emma,56% (5/9),100% (5/5),1/1,22% (2/9),0% (0/2),3/4,1/1,0/0,0/0,0/0
2019 W15 Wesley Chapel FL SF,W vs Zamarripa,64% (7/11),71% (5/7),0/3,36% (4/11),25% (1/4),4/5,2/2,1/1,1/1,0/0
2019 W15 Wesley Chapel FL R32,W vs Tilbuerger,100% (7/7),86% (6/7),1/1,29% (2/7),50% (1/2),4/5,1/1,0/0,1/1,0/0
2017 Buenos Aires $15K F,W vs Petit,64% (9/14),89% (8/9),4/8,71% (10/14),20% (2/10),3/7,0/0,0/0,0/0,0/0
2017 Buenos Aires $15K SF,W vs Martinich,100% (7/7),100% (7/7),1/1,17% (1/6),0% (0/1),4/5,0/1,0/0,0/0,0/0
2017 Buenos Aires $15K QF,W vs Kurata,78% (7/9),86% (6/7),2/3,44% (4/9),25% (1/4),3/5,1/2,0/0,1/1,0/0
2017 Buenos Aires $15K R16,W vs Farulla Di Palma,100% (6/6),100% (6/6),0/0,0% (0/6),- (0/0),6/6,2/2,0/0,1/1,0/0
2017 Buenos Aires $15K R32,W vs Tomita,100% (7/7),86% (6/7),1/1,57% (4/7),75% (3/4),6/6,2/2,0/0,1/1,0/0
2025 (2 matches),,66.7%,66.7%,33.3%,68.4%,23.1%,71.4%,100.0%,66.7%,100.0%,0.0%
2024 (4 matches),,51.2%,90.5%,47.4%,70.7%,24.1%,33.3%,66.7%,40.0%,100.0%,33.3%
2021 (1 matches),,69.2%,77.8%,50.0%,41.7%,20.0%,83.3%,100.0%,-,-,-
2019 (8 matches),,56.7%,88.2%,44.0%,41.9%,22.2%,66.7%,72.7%,66.7%,83.3%,100.0%
2017 (15 matches),,70.3%,87.2%,55.7%,54.5%,20.2%,57.8%,66.7%,55.6%,66.7%,33.3%
Career (33 matches),,63.5%,86.2%,50.8%,52.8%,21.3%,58.5%,70.6%,56.0%,73.3%,33.3%
