Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2020 Australian Open R128,L vs Vekic,15,26,0.6,14.0%,24.3%,15,26,0.6,16.5%,28.6%,,,1.2,14.0%,12.1%
2019 US Open R128,L vs Williams,6,20,0.3,7.1%,23.8%,5,17,0.3,6.8%,23.3%,1.4%,5.5%,1.3,19.0%,14.3%
2019 Toronto  R64,L vs Kontaveit,29,43,0.7,13.9%,20.7%,22,35,0.6,11.8%,18.8%,5.4%,5.4%,0.7,13.5%,18.3%
2019 Wimbledon R128,L vs Parmentier,16,30,0.5,9.1%,17.1%,16,22,0.7,9.9%,13.6%,6.2%,2.5%,0.9,14.3%,16.0%
2019 Australian Open R16,L vs Barty,15,45,0.3,8.5%,25.4%,13,35,0.4,8.4%,22.6%,3.9%,4.5%,0.5,13.6%,25.4%
2019 Australian Open R32,W vs Wozniacki,35,39,0.9,19.7%,21.9%,30,32,0.9,19.0%,20.3%,14.6%,4.4%,0.3,5.6%,16.9%
2019 Australian Open R128,W vs Dart,19,15,1.3,23.2%,18.3%,19,8,2.4,26.4%,11.1%,9.7%,16.7%,0.7,7.3%,11.0%
2018 US Open R16,L vs Suarez Navarro,15,38,0.4,12.2%,30.9%,13,30,0.4,11.8%,27.3%,8.2%,3.6%,0.8,12.2%,16.3%
2018 US Open R32,W vs Ostapenko,11,18,0.6,9.3%,15.3%,5,13,0.4,5.0%,13.0%,2.0%,3.0%,0.2,8.5%,34.7%
2018 US Open R64,W vs Cirstea,26,33,0.8,17.9%,22.8%,21,23,0.9,16.8%,18.4%,10.4%,5.6%,0.6,13.8%,22.8%
2018 US Open R128,W vs Schnyder,23,46,0.5,14.8%,29.7%,21,37,0.6,14.8%,26.1%,9.9%,4.2%,0.1,2.6%,19.4%
2018 Wimbledon R128,L vs Diatchenko,27,34,0.8,11.8%,14.8%,19,23,0.8,9.5%,11.5%,5.0%,3.5%,1.0,13.5%,14.0%
2018 Roland Garros QF,L vs Muguruza,9,23,0.4,9.5%,24.2%,8,17,0.5,9.5%,20.2%,4.8%,4.8%,0.8,10.5%,12.6%
2018 Roland Garros R64,W vs Vekic,31,29,1.1,19.5%,18.2%,28,23,1.2,20.1%,16.5%,11.5%,6.5%,1.0,17.6%,17.0%
2018 Rome SF,L vs Halep,32,48,0.7,18.0%,27.0%,29,39,0.7,18.4%,24.7%,6.3%,12.0%,0.6,9.0%,15.7%
2018 Doha R64,L vs Niculescu,31,62,0.5,16.5%,33.0%,29,51,0.6,16.8%,29.5%,9.2%,7.5%,0.4,6.4%,17.0%
2018 Shenzhen R32,W vs Buzarnescu,18,28,0.6,15.3%,23.7%,15,22,0.7,14.4%,21.2%,7.7%,6.7%,0.2,5.9%,25.4%
2017 Tianjin F,W vs Sabalenka,28,19,1.5,16.0%,10.9%,20,16,1.3,12.7%,10.1%,8.2%,3.8%,0.7,16.0%,21.7%
2017 Beijing R16,L vs Halep,15,37,0.4,15.2%,37.4%,13,32,0.4,14.4%,35.6%,10.0%,4.4%,1.7,12.1%,7.1%
2017 Beijing R64,W vs Sevastova,51,58,0.9,19.8%,22.6%,40,48,0.8,17.6%,21.1%,11.9%,5.3%,0.6,8.2%,14.8%
Career (225 matches),,5611,6653,0.8,17.8%,21.1%,4767,5413,0.9,16.9%,19.2%,8.2%,4.7%,0.7,11.0%,17.0%
