Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2018 Australian Open Q1,L vs Kuzmova,0.91,0.70,50.3,2.1,5.7%,48.6%,3.0%,60.6%,35.5%,34.5%
2017 Sant Cugat $25K R32,W vs Maristany Zuleta De Reales,1.00,1.06,85.5,5.7,2.0%,52.9%,0.0%,45.8%,51.9%,56.3%
2017 Obidos $25K QF,L vs Khromacheva,1.05,0.54,40.0,2.2,0.0%,48.0%,0.0%,40.9%,41.7%,13.6%
2017 Obidos $25K R32,W vs Parrizas Diaz,1.19,1.36,56.9,2.3,2.6%,56.4%,5.6%,50.0%,46.7%,60.7%
2017 Santa Margherita Di Pula $25K SF,L vs Pieri,0.84,0.70,51.7,2.5,0.0%,46.4%,4.0%,48.0%,40.4%,47.8%
2017 Santa Margherita Di Pula $25K QF,W vs Di Giuseppe,1.04,1.25,58.8,2.3,5.1%,59.0%,0.0%,61.1%,53.2%,43.5%
2017 Santa Margherita Di Pula $25K R16,W vs Stagno,1.21,1.97,36.1,2.0,0.0%,60.0%,0.0%,68.2%,56.5%,61.9%
2017 Santa Margherita Di Pula $25K R32,W vs Raggi,1.17,3.00,27.3,2.0,0.0%,70.0%,0.0%,82.4%,56.5%,68.2%
2017 Dunakeszi $60K R32,L vs Bukta,0.80,0.35,28.0,2.0,0.0%,28.0%,0.0%,39.1%,23.5%,35.7%
2017 Braunschweig $25K R32,L vs Marozava,0.89,0.76,58.0,3.3,0.0%,50.0%,0.0%,43.8%,45.7%,44.1%
2017 Montreux $25K F,W vs Chiesa,1.03,1.28,53.1,4.0,2.4%,64.3%,0.0%,57.9%,52.3%,43.9%
2017 Montreux $25K SF,W vs Kung,0.92,1.44,56.7,3.0,0.0%,63.3%,0.0%,71.4%,51.5%,51.5%
2017 Montreux $25K QF,W vs In Albon,1.17,2.14,38.6,2.5,4.2%,70.8%,10.0%,75.0%,53.8%,45.8%
2017 Montreux $25K R16,W vs Zuger,1.17,1.63,45.5,2.0,0.0%,57.1%,0.0%,52.0%,55.2%,72.0%
2017 Montreux $25K R32,W vs Jebawy,1.19,3.59,28.1,2.2,0.0%,72.2%,6.3%,75.0%,75.0%,85.7%
2017 Chiswick $25K R32,W vs Deigman,1.08,1.54,43.1,3.6,0.0%,63.3%,3.7%,59.3%,59.4%,50.0%
2017 Woking $25K QF,L vs Diatchenko,0.88,0.67,55.2,2.4,3.0%,39.4%,3.3%,66.7%,25.0%,50.0%
2017 Woking $25K R32,W vs Terziyska,1.17,1.30,90.3,2.6,0.0%,64.2%,2.0%,75.5%,35.6%,32.1%
2017 Ystad $25K SF,L vs Lemoine,0.93,0.84,69.5,11.3,0.0%,46.8%,0.0%,48.8%,44.7%,50.0%
2017 Barcelona $60K R16,L vs Badosa,0.89,0.71,70.0,4.0,0.0%,58.9%,1.9%,66.0%,31.9%,27.9%
2018 (1 matches),,0.91,0.70,50.3,2.1,5.7%,48.6%,3.0%,60.6%,35.5%,34.5%
2017 (49 matches),,1.05,1.25,52.7,2.5,1.2%,57.8%,1.8%,59.1%,48.5%,50.1%
2016 (14 matches),,1.03,1.00,55.6,2.7,2.7%,55.7%,2.3%,53.1%,41.8%,46.6%
2015 (15 matches),,1.06,1.07,56.7,2.5,0.9%,53.3%,0.8%,53.9%,44.6%,49.3%
2014 (23 matches),,1.02,0.98,56.8,2.7,1.7%,54.2%,0.9%,52.6%,43.5%,46.2%
Career (160 matches),,1.03,1.08,55.6,2.6,1.3%,55.4%,1.4%,55.8%,45.2%,48.2%
