Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2018,7,1,6,14.3%,2-13,13.3%,39-83,32.0%,0-1,0.0%,7,40.0%,24.6%,0.5%,8.6%,56.7%,53.7%,36.6%,46.3%,40.3%,43.4%,0.75,R32 (3x)
2017,17,8,9,47.1%,21-21,50.0%,187-199,48.4%,1-2,33.3%,17,54.6%,43.0%,0.4%,7.3%,60.5%,57.9%,41.4%,51.4%,46.9%,49.1%,0.97,R16 (Washington)
2016,27,10,17,37.0%,26-41,38.8%,301-351,46.2%,2-4,33.3%,27,65.1%,27.1%,3.3%,3.9%,58.1%,64.9%,44.4%,56.3%,40.5%,48.4%,0.93,F (Nurnberg)
2015,20,11,9,55.0%,25-23,52.1%,219-228,49.0%,3-1,75.0%,10,74.5%,29.8%,4.7%,4.5%,59.4%,68.1%,54.6%,62.6%,38.9%,50.6%,1.04,SF (Bogota)
2014,12,4,8,33.3%,8-16,33.3%,104-119,46.6%,0-4,0.0%,8,-,-,3.8%,7.4%,55.7%,60.2%,43.7%,52.9%,42.4%,47.4%,0.90,QF (Bogota)
2013,13,5,8,38.5%,12-19,38.7%,141-158,47.2%,0-4,0.0%,9,-,-,3.8%,6.4%,58.0%,69.5%,43.3%,58.5%,40.1%,48.8%,0.97,R16 (Bogota)
2012,17,8,9,47.1%,18-20,47.4%,162-164,49.7%,0-1,0.0%,10,-,-,1.1%,6.7%,60.1%,57.4%,36.2%,48.9%,47.0%,48.0%,0.92,QF (2x)
2011,5,2,3,40.0%,5-7,41.7%,44-54,44.9%,0-0,-,1,-,-,0.0%,10.8%,64.6%,64.3%,17.4%,47.7%,38.2%,42.9%,0.73,
2010,19,9,10,47.4%,19-22,46.3%,180-197,47.7%,4-4,50.0%,10,-,-,1.6%,3.7%,73.9%,59.5%,42.7%,55.1%,42.8%,49.0%,0.95,W (Bogota)
2009,14,2,12,14.3%,7-25,21.9%,135-181,42.7%,0-7,0.0%,10,-,-,0.8%,4.2%,68.0%,55.5%,37.8%,49.8%,42.1%,46.0%,0.84,
2008,12,6,6,50.0%,12-14,46.2%,116-118,49.6%,0-2,0.0%,4,-,-,1.3%,1.7%,73.8%,56.4%,44.3%,53.2%,40.8%,46.7%,0.87,QF (Bogota)
2007,6,4,2,66.7%,6-5,54.5%,57-46,55.3%,0-2,0.0%,0,,,,,,,,,,,,R16 (Bogota)
2006,3,2,1,66.7%,4-3,57.1%,29-28,50.9%,0-0,-,0,,,,,,,,,,,,
2005,2,1,1,50.0%,2-3,40.0%,22-22,50.0%,0-1,0.0%,0,,,,,,,,,,,,
Career,174,73,101,42.0%,167-232,41.9%,1736-1948,47.1%,10-33,23.3%,113,61.6%,31.0%,2.3%,5.4%,61.3%,61.3%,42.9%,54.1%,42.2%,48.1%,0.92,
