Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,12,Hard,27,15,12,55.6%,2,2,0,100.0%,2002,2013,QF,21,1.10,4.1%,7.3%,62.8%,65.4%,43.3%,57.2%,47.0%,51.3%,50.3%
Roland Garros,13,Clay,29,16,13,55.2%,6,4,2,66.7%,2001,2013,SF,27,0.99,2.6%,5.3%,64.5%,60.3%,42.3%,54.0%,45.8%,54.7%,47.9%
Wimbledon,11,Grass,38,28,10,73.7%,4,3,1,75.0%,2003,2013,W,33,1.15,3.9%,4.7%,65.0%,67.1%,45.4%,59.5%,46.7%,61.8%,45.8%
US Open,11,Hard,34,23,11,67.6%,6,3,3,50.0%,2002,2012,QF,28,1.16,4.0%,6.5%,61.2%,65.4%,48.3%,58.8%,47.9%,51.1%,51.7%
Fed Cup,1,,2,2,0,100.0%,0,0,0,-,2013,2013,,0,,,,,,,,,,
Indian Wells,11,Hard,31,20,11,64.5%,3,2,1,66.7%,2003,2013,F,25,1.12,3.7%,7.3%,60.9%,64.9%,44.8%,57.1%,48.0%,59.4%,47.3%
Eastbourne,10,Grass,32,23,9,71.9%,3,3,0,100.0%,2013,2013,W,26,1.24,4.4%,5.5%,60.7%,70.5%,50.4%,62.6%,46.3%,58.6%,46.5%
Miami,10,Hard,27,17,10,63.0%,5,3,2,60.0%,2003,2013,SF,19,1.07,3.5%,8.5%,59.8%,64.0%,38.5%,53.7%,49.5%,51.9%,57.9%
Stanford,10,Hard,26,17,9,65.4%,3,2,1,66.7%,2003,2012,W,19,1.12,3.9%,7.2%,58.9%,69.2%,43.9%,58.8%,46.3%,53.5%,43.7%
New Haven,9,Hard,21,12,9,57.1%,6,2,4,33.3%,2003,2012,QF,14,1.06,3.6%,8.5%,59.9%,63.1%,45.5%,56.1%,46.7%,52.6%,45.2%
Cincinnati,9,Hard,18,9,9,50.0%,3,1,2,33.3%,2004,2013,SF,13,0.98,5.6%,9.4%,60.1%,64.0%,43.1%,55.6%,43.4%,48.9%,52.8%
