Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2023 US Open R128,L vs Sabalenka,18.5%,24.1%,28.9%,23.3%,33.3%,34.8%,35.3%,23.1%,0.0%,16.7%,16.7%,20.0%,28.6%,27.3%,0.0%,25
2023 Wimbledon R128,L vs Strycova,23.2%,32.1%,41.7%,30.3%,45.5%,52.2%,18.8%,29.4%,66.7%,18.8%,18.8%,23.1%,0.0%,33.3%,0.0%,31
2023 Roland Garros R128,L vs Putintseva,9.3%,22.7%,49.4%,14.8%,27.8%,50.0%,28.6%,57.7%,50.0%,2.6%,18.4%,48.6%,22.2%,55.0%,40.0%,-92
2023 Madrid R128,W vs Kenin,32.4%,43.2%,66.7%,36.0%,48.0%,68.8%,40.0%,73.3%,0.0%,37.5%,50.0%,60.0%,0.0%,100.0%,-,169
2022 Indian Wells R128,L vs Kostyuk,21.4%,26.0%,39.6%,28.4%,33.8%,47.2%,21.9%,50.0%,66.7%,14.0%,18.0%,30.2%,9.5%,41.4%,60.0%,23
2021 Gdynia F,W vs Kucova,9.3%,22.7%,54.5%,13.6%,29.5%,52.6%,38.1%,73.9%,83.3%,3.4%,13.8%,57.1%,0.0%,82.4%,100.0%,-81
2021 Strasbourg R16,L vs Andreescu,20.0%,28.9%,40.0%,33.3%,48.1%,50.0%,20.0%,47.1%,33.3%,0.0%,0.0%,25.0%,11.1%,66.7%,-,-119
2017 ITF Zhuhai SF,L vs Allertova,21.6%,29.7%,42.9%,29.8%,40.4%,51.5%,21.7%,12.5%,0.0%,11.1%,16.7%,25.0%,11.1%,66.7%,100.0%,-33
2016 Limoges R32,W vs Gjorcheska,16.7%,28.3%,53.2%,25.0%,38.9%,55.6%,11.1%,44.4%,20.0%,4.8%,14.3%,50.0%,11.1%,91.7%,100.0%,-71
2016 ITF Joue Les Tours QF,W vs Jabeur,29.0%,37.7%,53.3%,40.0%,51.1%,51.9%,10.5%,11.5%,0.0%,10.0%,15.0%,55.6%,0.0%,70.0%,100.0%,-23
Last 52 Weeks (1 matches),,18.5%,24.1%,28.9%,23.3%,33.3%,34.8%,35.3%,23.1%,0.0%,16.7%,16.7%,20.0%,28.6%,27.3%,0.0%,25
Career (10 matches),,19.2%,28.4%,46.4%,26.7%,38.3%,50.7%,24.2%,42.5%,38.6%,10.0%,17.0%,40.1%,10.0%,59.2%,68.0%,-25
