Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,157,60,97,38.2%,147-216,40.5%,1552-1808,46.2%,26-19,57.8%,28,-,-,1.4%,6.7%,66.1%,61.3%,45.6%,56.0%,42.6%,49.3%,0.97
Clay,55,18,37,32.7%,48-77,38.4%,507-617,45.1%,1-4,20.0%,16,-,-,1.2%,8.9%,66.9%,56.4%,36.6%,49.9%,49.1%,49.5%,0.98
Grass,34,17,17,50.0%,39-35,52.7%,348-347,50.1%,6-4,60.0%,12,-,-,1.3%,5.7%,65.7%,63.9%,47.8%,58.4%,43.8%,51.3%,1.05
Carpet,21,8,13,38.1%,16-29,35.6%,195-227,46.2%,1-4,20.0%,2,-,-,0.0%,10.4%,67.9%,56.9%,29.4%,48.1%,38.3%,43.0%,0.74
Grand Slams,44,13,31,29.5%,37-66,35.9%,400-520,43.5%,7-2,77.8%,12,-,-,1.2%,6.5%,68.5%,59.5%,42.2%,54.1%,43.1%,48.7%,0.94
Premiers,88,32,56,36.4%,73-125,36.9%,838-1000,45.6%,6-11,35.3%,28,-,-,1.5%,8.0%,65.8%,58.7%,40.1%,52.3%,44.6%,48.5%,0.94
Internationals,72,35,37,48.6%,85-85,50.0%,793-820,49.2%,16-10,61.5%,18,-,-,1.0%,6.5%,65.5%,63.5%,48.3%,58.3%,45.5%,51.9%,1.09
Finals,1,1,0,100.0%,2-0,100.0%,13-8,61.9%,1-0,100.0%,0,,,,,,,,,,,
Semi-finals,4,1,3,25.0%,3-6,33.3%,43-54,44.3%,1-0,100.0%,2,-,-,0.0%,8.1%,63.2%,62.4%,47.1%,56.8%,38.6%,48.1%,0.89
Quarter-finals,16,4,12,25.0%,11-26,29.7%,156-199,43.9%,3-4,42.9%,2,-,-,2.1%,7.3%,68.8%,74.2%,30.0%,60.4%,43.7%,52.5%,1.10
vs Righties,240,94,146,39.2%,228-318,41.8%,2338-2687,46.5%,33-25,56.9%,52,-,-,1.4%,7.2%,66.2%,60.5%,42.8%,54.5%,45.0%,49.8%,0.99
vs Lefties,19,6,13,31.6%,15-31,32.6%,197-247,44.4%,1-4,20.0%,6,-,-,0.2%,7.1%,67.1%,59.6%,46.4%,55.3%,41.2%,48.2%,0.92
vs Top 10,17,0,17,0.0%,1-32,3.0%,106-205,34.1%,1-3,25.0%,3,-,-,0.0%,8.8%,61.8%,60.3%,36.8%,51.3%,39.0%,45.4%,0.80
