Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,21,14,7,66.7%,30-16,65.2%,233-163,58.8%,0-1,0.0%,0,,,,,,,,,,,,F (W15 Cancun)
2021,45,27,18,60.0%,54-43,55.7%,468-427,52.3%,7-3,70.0%,0,,,,,,,,,,,,W (W15 Monastir)
2020,2,0,2,0.0%,1-4,20.0%,19-31,38.0%,1-1,50.0%,0,,,,,,,,,,,,R32 (2x)
2019,49,23,26,46.9%,55-55,50.0%,517-483,51.7%,4-4,50.0%,2,68.4%,38.9%,0.9%,2.6%,70.4%,61.7%,50.0%,58.3%,44.5%,51.3%,1.07,W (W25 Jodhpur)
2018,24,8,16,33.3%,20-35,36.4%,231-283,44.9%,0-4,0.0%,2,57.9%,31.6%,0.0%,2.7%,67.3%,55.3%,51.4%,54.0%,43.3%,48.2%,0.94,QF (2x)
2017,57,37,20,64.9%,80-49,62.0%,640-525,54.9%,6-3,66.7%,3,56.7%,45.2%,0.0%,3.6%,75.1%,53.4%,51.0%,52.8%,48.2%,50.5%,1.02,W (Auburn AL $25K)
2016,39,18,21,46.2%,38-44,46.3%,359-372,49.1%,1-4,20.0%,0,,,,,,,,,,,,SF (2x)
2015,22,10,12,45.5%,20-27,42.6%,183-217,45.8%,0-0,-,0,,,,,,,,,,,,QF (3x)
2014,42,26,16,61.9%,52-40,56.5%,444-389,53.3%,2-3,40.0%,0,,,,,,,,,,,,W (Granby 25K)
2013,37,20,17,54.1%,44-37,54.3%,379-380,49.9%,5-2,71.4%,0,,,,,,,,,,,,W (Bukhara 25K)
2012,26,15,11,57.7%,32-24,57.1%,259-246,51.3%,5-1,83.3%,0,,,,,,,,,,,,SF (3x)
2011,23,13,10,56.5%,27-22,55.1%,231-200,53.6%,0-0,-,0,,,,,,,,,,,,W (Mie 10K)
2010,11,5,6,45.5%,9-14,39.1%,92-110,45.5%,2-1,66.7%,0,,,,,,,,,,,,SF (Tokyo 10K)
2009,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,,R32 (Kyoto 10K)
2008,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R32 (Kyoto 10K)
Career,400,216,184,54.0%,462-414,52.7%,4062-3850,51.3%,33-27,55.0%,7,60.3%,39.7%,0.2%,3.1%,71.8%,56.1%,50.8%,54.6%,45.7%,50.1%,1.01,
