Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
8,Alison Riske Amritraj [USA],3,5,37.5%,2,1,1,50.0%,2009,2016,6,0.79,5.1%,10.0%,55.3%,61.8%,44.2%,53.9%,36.4%,50.9%,30.6%
7,Karolina Pliskova [CZE],3,4,42.9%,4,1,3,25.0%,2012,2017,5,1.11,8.9%,11.9%,54.9%,69.7%,46.1%,59.1%,45.3%,45.2%,61.1%
7,Varvara Lepchenko [USA],2,5,28.6%,1,0,1,0.0%,2008,2015,3,0.86,3.2%,8.3%,60.8%,59.8%,44.7%,53.9%,39.7%,54.3%,25.8%
5,Lucie Safarova [CZE],1,4,20.0%,3,0,3,0.0%,2012,2017,1,1.11,7.1%,8.2%,51.8%,61.4%,58.5%,60.0%,44.2%,44.4%,54.5%
5,Caroline Garcia [FRA],0,5,0.0%,0,0,0,-,2015,2016,5,0.76,4.2%,9.5%,55.8%,61.0%,38.1%,50.9%,37.3%,43.2%,46.2%
5,Dominika Cibulkova [SVK],0,5,0.0%,0,0,0,-,2011,2016,1,0.80,2.7%,6.7%,60.0%,53.3%,40.0%,48.0%,41.8%,54.5%,75.0%
5,Christina Mchale [USA],1,4,20.0%,1,1,0,100.0%,2010,2016,2,1.06,5.2%,7.6%,54.1%,64.5%,39.2%,52.9%,50.0%,67.7%,52.4%
5,Sesil Karatantcheva [KAZ],4,1,80.0%,0,0,0,-,2009,2014,3,1.55,1.8%,7.2%,60.8%,78.2%,50.8%,67.5%,50.3%,80.0%,75.0%
5,Melanie Oudin [USA],3,2,60.0%,1,1,0,100.0%,2007,2014,1,1.48,7.8%,7.8%,64.7%,69.7%,44.4%,60.8%,58.2%,75.0%,60.0%
5,Jorgelina Cravero [ARG],3,2,60.0%,0,0,0,-,2008,2010,0,,,,,,,,,,
5,Lilia Osterloh [USA],1,4,20.0%,1,0,1,0.0%,2000,2010,0,,,,,,,,,,
4,Alize Cornet [FRA],1,3,25.0%,0,0,0,-,2012,2018,3,0.96,0.9%,5.4%,57.0%,60.6%,38.5%,51.1%,47.0%,38.5%,48.4%
4,Carla Suarez Navarro [ESP],0,4,0.0%,1,0,1,0.0%,2013,2017,4,0.84,5.0%,6.7%,55.9%,65.7%,39.1%,54.0%,38.6%,59.6%,46.7%
4,Kristina Mladenovic [FRA],3,1,75.0%,1,1,0,100.0%,2016,2017,4,1.14,3.0%,10.4%,57.5%,64.9%,43.9%,56.0%,50.2%,57.1%,57.1%
4,Agnieszka Radwanska [POL],2,2,50.0%,0,0,0,-,2014,2017,4,1.23,4.4%,5.6%,61.7%,64.9%,42.0%,56.1%,53.8%,56.5%,56.7%
