Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2017 Toronto R64,L vs Rybarikova,2.8,3.1,2.4,38.4%,35.7%,33.3%,100.0%,50.8%,8.6%,-4.0,-6.9,-9.0,-17.6
2017 Indian Wells R64,L vs Day,3.3,3.3,3.2,44.0%,57.9%,65.2%,62.5%,50.5%,8.6%,3.0,2.2,6.5,5.2
2017 Australian Open SF,L vs Williams,2.4,2.5,2.3,37.5%,30.8%,66.7%,0.0%,56.4%,11.8%,-9.0,-21.4,3.0,11.1
2017 Australian Open QF,W vs Pliskova,2.7,2.8,2.7,52.9%,57.5%,28.6%,-,46.3%,13.7%,20.0,24.4,10.5,13.1
2017 Australian Open R16,W vs Brady,3.2,3.5,2.9,54.4%,56.7%,33.3%,83.3%,63.6%,16.4%,29.0,30.2,-3.5,-7.6
2017 Australian Open R64,W vs Radwanska,3.6,3.8,3.3,60.3%,58.1%,50.0%,50.0%,59.5%,13.3%,26.0,29.9,2.5,4.8
2016 Charleston R16,L vs Siegemund,3.9,3.7,4.1,39.4%,47.7%,30.0%,63.6%,44.5%,7.1%,10.0,9.9,-2.5,-2.1
2016 Monterrey R16,L vs Wozniacki,3.9,4.2,3.5,35.4%,46.7%,66.7%,55.6%,50.8%,5.3%,20.0,20.8,-8.0,-9.0
2015 Beijing R16,L vs Muguruza,3.1,2.9,3.2,48.4%,48.4%,28.6%,50.0%,57.4%,6.4%,3.5,3.4,2.0,2.7
2015 Roland Garros R64,W vs Halep,3.7,3.2,4.2,55.2%,62.2%,71.4%,60.0%,50.0%,8.0%,16.5,19.2,6.0,7.6
2015 Indian Wells R128,L vs Riske Amritraj,2.9,2.7,3.1,42.9%,45.0%,20.0%,66.7%,49.0%,3.9%,-7.0,-9.6,-2.0,-2.7
2014 Quebec City F,W vs Williams,3.1,3.0,3.2,60.5%,51.5%,50.0%,66.7%,46.2%,4.3%,12.0,15.4,5.0,5.7
2013 Stuttgart R16,L vs Li,3.4,3.7,3.1,39.4%,25.9%,58.3%,33.3%,41.0%,9.8%,-5.0,-8.5,-3.0,-3.7
1999 Wimbledon SF,L vs Graf,3.1,3.3,2.9,45.0%,40.0%,71.4%,33.3%,61.5%,17.8%,-2.0,-1.4,6.5,8.8
1997 Strasbourg F,L vs Graf,3.4,3.4,3.4,48.9%,35.3%,50.0%,27.3%,42.9%,11.2%,-4.0,-4.7,3.0,2.9
Career (15 matches),,3.2,3.3,3.2,46.9%,47.9%,51.4%,53.2%,51.1%,9.4%,7.3,8.2,1.1,1.5
