Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2018,327,126,,,,,,,,,872,10,,
2018,327,126,,,,,,,,,872,10,,
2017,32,1605,49,1800,44,1762,46,1719,67,1621,84,831,,
2016,80,781,67,1756,75,1688,55,1692,69,1620,115,620,,
2015,68,885,77,1739,71,1696,86,1645,80,1600,465,92,,
2014,60,867,95,1720,90,1681,86,1639,68,1609,76,1088,,
2013,110,595,110,1672,121,1599,91,1625,61,1632,37,2295,,
2012,105,638,130,1647,146,1554,110,1611,57,1633,227,286,,
2011,129,518,139,1608,158,1514,121,1568,78,1591,251,275,,
2010,96,694,121,1659,129,1595,122,1568,77,1603,,,,
2009,258,190,237,1427,230,1389,217,1401,,,,,,
2008,433,47,210,1505,202,1459,181,1473,152,1465,,,,
2007,455,39,,,,,,,,,,,,
2003,348,55,,,,,,,,,,,,
2002,203,153,100,1695,104,1606,85,1660,,,,,,
2001,192,143,153,1598,166,1507,101,1629,130,1497,,,,
2000,202,118,111,1676,109,1615,93,1653,93,1558,,,,
1999,48,640,36,1919,42,1794,19,1915,19,1799,,,,
1998,51,535,22,1980,37,1814,15,1979,29,1730,,,,
1997,49,511,25,1978,31,1846,13,1994,,,,,,
