Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2020,9,4,5,44.4%,10-11,47.6%,94-106,47.0%,1-1,50.0%,0,,,,,,,,,,,,QF (2x)
2019,46,27,19,58.7%,61-39,61.0%,507-435,53.8%,6-3,66.7%,0,,,,,,,,,,,,W (W25 Macon)
2018,47,26,21,55.3%,57-47,54.8%,498-470,51.4%,6-4,60.0%,0,,,,,,,,,,,,F (4x)
2017,37,24,13,64.9%,53-31,63.1%,428-344,55.4%,5-3,62.5%,0,,,,,,,,,,,,W (2x)
2016,37,19,18,51.4%,45-41,52.3%,416-398,51.1%,6-5,54.5%,0,,,,,,,,,,,,W (Grenoble $25K)
2015,73,47,26,64.4%,107-65,62.2%,879-668,56.8%,5-9,35.7%,0,,,,,,,,,,,,W (3x)
2014,37,18,19,48.6%,42-44,48.8%,394-426,48.0%,9-3,75.0%,0,,,,,,,,,,,,F (Glasgow 10K)
2013,58,26,32,44.8%,62-68,47.7%,564-626,47.4%,9-2,81.8%,0,,,,,,,,,,,,F (2x)
2012,71,42,29,59.2%,90-70,56.3%,771-680,53.1%,9-2,81.8%,0,,,,,,,,,,,,W (Le Havre 10K)
2011,47,25,22,53.2%,54-48,52.9%,478-455,51.2%,2-4,33.3%,0,,,,,,,,,,,,W (Apeldoorn 10K)
2010,41,21,20,51.2%,44-44,50.0%,392-387,50.3%,4-5,44.4%,0,,,,,,,,,,,,F (Bree 10K)
2009,15,5,10,33.3%,12-21,36.4%,131-165,44.3%,1-2,33.3%,0,,,,,,,,,,,,R16 (5x)
2008,6,3,3,50.0%,6-7,46.2%,61-59,50.8%,0-0,-,0,,,,,,,,,,,,QF (Limoges 10K)
Career,524,287,237,54.8%,643-536,54.5%,5613-5219,51.8%,63-43,59.4%,0,,,,,,,,,,,,
