Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2014 Charleston R64,L vs Erakovic,60% (9/15),50% (4/8),1/2,0/0,64% (9/14),7/9,5/6,- (0/0),- (0/0)
2014 Miami R64,L vs Lisicki,71% (10/14),40% (4/10),1/1,0/0,50% (5/10),1/3,0/1,- (0/0),- (0/0)
2014 Miami R128,W vs Radwanska,29% (6/21),62% (8/13),2/4,1/1,44% (7/16),1/2,0/0,- (0/0),- (0/0)
2014 Dubai R32,L vs Suarez Navarro,33% (4/12),17% (1/6),0/0,0/0,50% (4/8),2/4,1/2,- (0/0),- (0/0)
2014 Doha R64,L vs Peng,50% (6/12),31% (5/16),0/0,0/0,33% (3/9),4/6,1/2,67% (4/6),17% (1/6)
2013 US Open R128,L vs Glushko,67% (6/9),25% (1/4),0/0,0/0,50% (3/6),2/4,1/2,- (0/0),- (0/0)
2013 Wimbledon R128,L vs Pliskova,50% (5/10),0% (0/1),0/0,0/0,57% (4/7),1/3,1/2,- (0/0),- (0/0)
2013 Wimbledon R128,L vs Pliskova,50% (5/10),0% (0/1),0/0,0/0,57% (4/7),1/3,1/2,- (0/0),- (0/0)
2013 Roland Garros R128,L vs Puig,67% (10/15),63% (5/8),1/2,0/0,33% (3/9),2/4,2/3,- (0/0),- (0/0)
2013 Roland Garros R128,L vs Puig,67% (10/15),63% (5/8),1/2,0/0,33% (3/9),2/4,2/3,- (0/0),- (0/0)
2013 Rome R64,L vs Suarez Navarro,56% (9/16),50% (5/10),1/3,0/2,29% (2/7),5/7,0/1,0% (0/4),25% (1/4)
2013 Madrid R32,L vs Kuznetsova,71% (12/17),40% (4/10),1/2,0/0,33% (2/6),0/2,0/1,25% (1/4),20% (1/5)
2013 Madrid R64,W vs Giorgi,73% (11/15),33% (5/15),2/2,1/1,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2013 Stuttgart R16,L vs Ivanovic,67% (4/6),50% (3/6),0/0,0/0,50% (5/10),0/2,0/1,- (0/0),- (0/0)
2013 Stuttgart R32,W vs Pfizenmaier,77% (10/13),29% (2/7),2/2,1/1,80% (4/5),0/0,0/0,75% (3/4),80% (4/5)
2013 Miami R32,L vs Jankovic,64% (7/11),38% (3/8),0/1,0/0,69% (9/13),1/3,0/1,50% (4/8),38% (3/8)
2013 Miami R64,W vs Zheng,78% (7/9),83% (5/6),2/2,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2013 Indian Wells R16,L vs Wozniacki,60% (6/10),75% (3/4),0/0,0/0,38% (3/8),0/2,0/1,40% (2/5),20% (1/5)
2013 Indian Wells R32,W vs Goerges,46% (6/13),100% (6/6),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2013 Indian Wells R64,W vs Voegele,88% (7/8),50% (5/10),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2014 (5 matches),,47.3%,41.5%,57.1%,100.0%,49.1%,62.5%,63.6%,66.7%,16.7%
2013 (23 matches),,63.1%,42.1%,55.0%,38.1%,53.1%,37.7%,40.0%,40.0%,37.0%
2012 (48 matches),,64.9%,44.3%,51.5%,56.4%,49.8%,44.2%,46.9%,58.9%,45.9%
2011 (14 matches),,63.8%,47.7%,71.4%,80.0%,47.4%,48.1%,53.8%,61.8%,57.6%
2010 (1 matches),,77.8%,83.3%,50.0%,33.3%,100.0%,-,-,-,-
Career (95 matches),,62.9%,44.4%,55.4%,54.4%,50.4%,45.1%,48.3%,56.6%,44.9%
