Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2019 Charleston R64,L vs Trevisan,57% (4/7),50% (2/4),2/6,88% (7/8),0% (0/7),0/2,0/0,0/1,0/0,0/1
2019 Charleston Q2,W vs Dolehide,41% (7/17),43% (3/7),1/3,41% (7/17),43% (3/7),3/3,0/1,2/3,0/0,2/2
2019 Charleston Q1,W vs Zhuk,82% (9/11),89% (8/9),4/6,80% (8/10),25% (2/8),3/6,0/0,0/0,0/0,0/0
2017 Dubai Q1,L vs Ozaki,20% (2/10),100% (2/2),1/4,56% (5/9),20% (1/5),0/2,0/0,2/2,0/0,1/1
2016 Guangzhou Q1,L vs You,36% (5/14),100% (5/5),2/4,54% (7/13),29% (2/7),3/5,1/1,0/1,0/0,0/0
2016 Florianopolis R32,L vs Ostapenko,30% (3/10),67% (2/3),1/4,50% (5/10),20% (1/5),0/2,0/0,1/1,0/0,1/1
2016 Florianopolis Q2,W vs Kichenok,78% (7/9),100% (7/7),3/3,50% (4/8),25% (1/4),4/5,0/2,0/0,0/1,0/0
2016 Florianopolis Q1,W vs Rossi,67% (6/9),100% (6/6),1/2,38% (3/8),33% (1/3),2/4,0/0,0/0,0/0,0/0
2016 Gstaad Q1,L vs Lim,13% (1/8),100% (1/1),1/5,86% (6/7),17% (1/6),0/1,0/0,0/0,0/0,0/0
2016 Torino $25K R32,L vs Gonzalez,22% (2/9),100% (2/2),2/3,56% (5/9),0% (0/5),1/2,0/0,0/2,0/0,0/1
2016 Strasbourg Q1,L vs Hesse,11% (1/9),100% (1/1),0/3,44% (4/9),0% (0/4),1/1,0/0,0/1,0/0,0/1
2016 Prague Q1,L vs Chirico,38% (3/8),67% (2/3),1/5,86% (6/7),0% (0/6),1/2,0/0,0/1,0/0,0/0
2016 Pelham AL $25K R16,L vs Kudryavtseva,14% (1/7),100% (1/1),1/6,86% (6/7),0% (0/6),0/1,0/0,0/0,0/0,0/0
2016 Irapuato $25K R32,L vs Khromacheva,47% (7/15),43% (3/7),1/4,43% (6/14),33% (2/6),1/2,0/0,0/0,0/0,0/0
2016 Launceston $75K QF,L vs Kudryavtseva,46% (6/13),83% (5/6),2/5,50% (6/12),0% (0/6),3/4,0/0,1/2,0/0,0/0
2016 Launceston $75K R16,W vs Vekic,50% (6/12),100% (6/6),3/5,50% (6/12),17% (1/6),4/6,1/1,2/2,1/1,0/0
2016 Launceston $75K R32,W vs Rogowska,69% (11/16),73% (8/11),3/7,69% (11/16),36% (4/11),3/6,0/1,0/0,0/0,0/0
2015 Dubai $75K R32,L vs Panova,50% (4/8),25% (1/4),1/5,71% (5/7),0% (0/5),1/1,0/0,1/1,0/0,0/0
2015 Tianjin R32,L vs Radwanska,38% (3/8),67% (2/3),1/6,75% (6/8),0% (0/6),0/2,0/0,0/0,0/0,0/0
2015 Tianjin Q2,W vs Ninomiya,70% (7/10),71% (5/7),2/3,60% (6/10),50% (3/6),4/5,2/3,0/0,1/2,0/0
2019 (3 matches),,57.1%,65.0%,46.7%,62.9%,22.7%,54.5%,0.0%,50.0%,-,66.7%
2017 (1 matches),,20.0%,100.0%,25.0%,55.6%,20.0%,0.0%,-,100.0%,-,100.0%
2016 (13 matches),,42.4%,83.1%,37.5%,56.8%,17.3%,56.1%,40.0%,40.0%,50.0%,33.3%
2015 (11 matches),,44.0%,68.6%,22.9%,48.3%,33.9%,71.9%,80.0%,77.8%,80.0%,75.0%
2014 (9 matches),,33.3%,63.3%,20.6%,57.3%,17.6%,72.2%,25.0%,42.9%,0.0%,0.0%
Career (74 matches),,44.4%,77.9%,34.0%,49.2%,22.7%,62.3%,64.3%,60.3%,60.7%,56.0%
