Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,151,120,31,79.5%,247-80,75.5%,1799-1106,61.9%,7-8,46.7%,0,,,,,,,,,,,
Clay,300,251,49,83.7%,515-125,80.5%,3635-1924,65.4%,9-8,52.9%,0,,,,,,,,,,,
Grass,231,180,51,77.9%,379-124,75.3%,2767-1784,60.8%,0-1,0.0%,0,,,,,,,,,,,
Carpet,107,72,35,67.3%,152-75,67.0%,1198-868,58.0%,11-9,55.0%,0,,,,,,,,,,,
Grand Slams,158,121,37,76.6%,254-88,74.3%,1868-1213,60.6%,4-2,66.7%,0,,,,,,,,,,,
Finals,105,73,32,69.5%,155-71,68.6%,1197-880,57.6%,4-1,80.0%,0,,,,,,,,,,,
Semi-finals,146,102,44,69.9%,221-106,67.6%,1782-1300,57.8%,4-4,50.0%,0,,,,,,,,,,,
Quarter-finals,166,130,36,78.3%,271-92,74.7%,1975-1210,62.0%,6-6,50.0%,0,,,,,,,,,,,
vs Righties,504,369,135,73.2%,776-325,70.5%,5960-4188,58.7%,21-24,46.7%,0,,,,,,,,,,,
vs Lefties,59,41,18,69.5%,86-40,68.3%,668-495,57.4%,2-2,50.0%,0,,,,,,,,,,,
