Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,51,20,31,39.2%,51-65,44.0%,525-548,48.9%,4-7,36.4%,51,67.0%,31.6%,4.2%,5.6%,61.1%,65.1%,43.7%,56.8%,41.8%,49.5%,0.97
Clay,30,11,19,36.7%,27-41,39.7%,301-336,47.3%,2-1,66.7%,30,57.2%,37.3%,2.3%,7.7%,62.6%,60.5%,41.7%,53.4%,44.4%,49.0%,0.95
Grass,15,7,8,46.7%,17-17,50.0%,171-157,52.1%,1-4,20.0%,15,77.3%,30.3%,3.9%,6.0%,60.7%,67.5%,48.8%,60.1%,40.6%,50.6%,1.02
Grand Slams,13,2,11,15.4%,8-23,25.8%,130-170,43.3%,1-5,16.7%,13,70.5%,21.1%,3.1%,5.7%,62.0%,65.5%,44.2%,57.4%,36.6%,47.0%,0.86
Premiers,15,4,11,26.7%,11-23,32.4%,141-186,43.1%,1-2,33.3%,15,59.9%,26.5%,3.5%,4.5%,61.9%,60.9%,43.1%,54.1%,39.4%,46.8%,0.86
Internationals,49,23,26,46.9%,54-57,48.6%,524-511,50.6%,3-3,50.0%,49,66.0%,35.2%,3.4%,6.9%,61.4%,63.9%,44.9%,56.6%,43.9%,50.4%,1.01
Finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,50.0%,11.1%,1.8%,9.1%,50.9%,64.3%,33.3%,49.1%,33.9%,41.2%,0.67
Semi-finals,3,1,2,33.3%,4-4,50.0%,36-39,48.0%,0-0,-,3,71.1%,24.3%,4.6%,4.1%,63.9%,63.0%,49.4%,58.1%,35.5%,47.5%,0.85
Quarter-finals,6,2,4,33.3%,5-9,35.7%,61-72,45.9%,0-0,-,6,59.7%,31.8%,2.8%,8.2%,60.3%,58.7%,43.8%,52.8%,44.5%,49.0%,0.94
vs Righties,88,34,54,38.6%,86-114,43.0%,914-960,48.8%,7-11,38.9%,88,64.4%,34.1%,3.6%,6.4%,61.4%,63.9%,43.3%,55.9%,42.7%,49.5%,0.97
vs Lefties,7,3,4,42.9%,7-9,43.8%,71-76,48.3%,0-1,0.0%,7,73.3%,22.5%,3.5%,5.3%,63.0%,64.6%,50.8%,59.5%,37.7%,49.3%,0.93
vs Top 10,7,0,7,0.0%,1-14,6.7%,46-89,34.1%,0-1,0.0%,7,54.2%,16.9%,2.6%,9.1%,57.4%,62.6%,35.5%,51.1%,36.4%,44.0%,0.74
