Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,29,18,11,62.1%,9,4,5,44.4%,1990,2000,QF,0,,,,,,,,,,
Roland Garros,14,Clay,46,32,14,69.6%,12,7,5,58.3%,1987,2000,F,0,,,,,,,,,,
Wimbledon,16,Grass,47,31,16,66.0%,9,4,5,44.4%,1986,2002,SF,0,,,,,,,,,,
US Open,12,Hard,36,24,12,66.7%,6,3,3,50.0%,1987,1999,QF,0,,,,,,,,,,
Olympics,3,,7,4,3,57.1%,1,0,1,0.0%,1988,2000,QF,0,,,,,,,,,,
Fed Cup,12,,51,35,16,68.6%,8,5,3,62.5%,1986,1999,,0,,,,,,,,,,
Eastbourne,12,Grass,40,29,11,72.5%,12,7,5,58.3%,1987,2000,W,0,,,,,,,,,,
Hilton Head,10,Clay,35,25,10,71.4%,7,6,1,85.7%,1989,1999,F,0,,,,,,,,,,
Key Biscayne,9,Hard,26,17,9,65.4%,8,7,1,87.5%,1987,1999,F,0,,,,,,,,,,
Filderstadt,9,Hard,20,11,9,55.0%,8,5,3,62.5%,1991,1999,F,0,,,,,,,,,,
Zurich,9,Hard,18,9,9,50.0%,3,2,1,66.7%,1991,1999,F,0,,,,,,,,,,
Berlin,9,Clay,18,9,9,50.0%,4,0,4,0.0%,1990,2000,SF,0,,,,,,,,,,
