Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2009,15,4,11,26.7%,12-25,32.4%,145-186,43.8%,1-3,25.0%,15,-,-,1.7%,4.6%,68.4%,59.2%,40.8%,53.4%,40.2%,47.1%,0.86,QF (Paris)
2008,30,14,16,46.7%,32-36,47.1%,321-330,49.3%,5-5,50.0%,27,-,-,2.3%,6.5%,65.4%,60.1%,42.1%,53.9%,43.0%,48.6%,0.93,F (Cincinnati)
2007,36,17,19,47.2%,39-43,47.6%,376-389,49.2%,4-8,33.3%,27,-,-,1.6%,4.3%,73.0%,57.3%,44.4%,53.8%,43.0%,48.5%,0.93,SF (Forest Hills)
2006,45,17,28,37.8%,45-62,42.1%,483-536,47.4%,4-7,36.4%,31,-,-,2.1%,3.7%,72.3%,59.8%,43.8%,55.4%,42.6%,49.0%,0.95,QF (3x)
2005,68,41,27,60.3%,87-66,56.9%,772-685,53.0%,10-11,47.6%,18,-,-,2.0%,4.3%,69.9%,61.7%,46.9%,57.3%,44.9%,51.2%,1.05,SF (4x)
2004,61,36,25,59.0%,81-57,58.7%,699-606,53.6%,7-9,43.8%,8,-,-,2.4%,4.4%,68.5%,60.9%,47.9%,56.8%,44.9%,51.3%,1.04,F (New Haven)
2003,52,34,18,65.4%,69-45,60.5%,560-488,53.4%,2-4,33.3%,7,-,-,2.7%,7.7%,63.7%,61.8%,48.4%,57.0%,49.9%,53.3%,1.16,W (Gold Coast)
2002,60,34,26,56.7%,80-65,55.2%,708-660,51.8%,10-5,66.7%,0,,,,,,,,,,,,SF (2x)
2001,46,21,25,45.7%,54-57,48.6%,507-514,49.7%,5-5,50.0%,0,,,,,,,,,,,,SF (Canberra)
2000,50,30,20,60.0%,67-46,59.3%,563-489,53.5%,5-5,50.0%,0,,,,,,,,,,,,F (2x)
1999,55,32,23,58.2%,65-55,54.2%,558-509,52.3%,6-4,60.0%,0,,,,,,,,,,,,SF (2x)
1998,28,11,17,39.3%,26-33,44.1%,252-276,47.7%,1-5,16.7%,0,,,,,,,,,,,,SF (Quebec City)
1997,17,6,11,35.3%,18-23,43.9%,188-199,48.6%,1-1,50.0%,0,,,,,,,,,,,,R16 (3x)
1996,17,6,11,35.3%,14-24,36.8%,166-198,45.6%,1-0,100.0%,0,,,,,,,,,,,,QF (2x)
1995,2,0,2,0.0%,0-4,0.0%,12-25,32.4%,1-0,100.0%,0,,,,,,,,,,,,R32 (Strasbourg)
Career,582,303,279,52.1%,689-641,51.8%,6310-6090,50.9%,63-72,46.7%,133,-,-,2.0%,4.8%,69.6%,59.7%,44.1%,55.0%,43.3%,49.3%,0.96,
