Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 Bogota R32,L vs Serban,0.83,0.77,54.1,6.0,0.0%,50.0%,0.0%,50.0%,45.8%,46.7%
2025 Austin R32,W vs Rapolu,1.12,1.48,51.7,2.2,2.8%,50.0%,0.0%,69.7%,44.8%,64.0%
2024 Indian Wells R128,W vs Kessler,1.13,1.24,62.4,2.3,0.0%,71.8%,0.0%,45.9%,46.3%,43.6%
2023 Wimbledon R128,L vs Sasnovich,0.92,0.57,37.6,2.0,0.0%,9.5%,5.0%,60.0%,36.7%,44.8%
2023 Roland Garros R128,L vs Hunter,1.00,0.84,72.4,5.9,2.2%,50.0%,0.0%,54.5%,51.0%,27.9%
2023 Australian Open R32,L vs Vekic,0.97,0.48,33.4,2.0,4.2%,54.2%,0.0%,27.3%,20.0%,38.9%
2023 Australian Open R128,W vs Haddad Maia,1.07,1.23,72.9,3.3,0.0%,62.5%,2.6%,52.6%,50.0%,47.2%
2023 United Cup RR,L vs Swan,0.96,0.69,41.6,7.0,0.0%,46.5%,0.0%,53.7%,30.6%,41.9%
2022 BJK Cup Finals RR: ESP vs KAZ RR,W vs Putintseva,1.11,1.13,78.4,5.4,1.6%,60.7%,0.0%,49.1%,49.2%,41.8%
2022 Toronto R64,L vs Williams,0.88,0.83,63.4,2.1,3.2%,67.7%,3.7%,44.4%,36.7%,44.4%
2022 Wimbledon R128,L vs Liu,0.82,0.68,47.7,3.3,0.0%,61.5%,4.3%,65.2%,36.4%,23.3%
2022 Roland Garros R128,L vs Jeanjean,0.98,0.68,48.7,3.0,0.0%,39.4%,0.0%,53.3%,34.5%,40.7%
2022 Rome R32,L vs Andreescu,0.89,0.74,57.5,2.5,0.0%,43.3%,3.8%,65.4%,44.7%,31.3%
2022 BJK Cup QLS R1: ESP vs NED RR,W vs Rus,1.07,1.41,50.2,2.2,0.0%,67.7%,3.7%,55.6%,62.2%,36.4%
2022 Monterrey SF,L vs Osorio,0.93,0.84,62.1,2.8,2.4%,41.5%,0.0%,52.6%,50.0%,46.2%
2022 Monterrey QF,W vs Sorribes Tormo,1.20,1.18,74.0,3.0,0.0%,50.0%,0.0%,46.3%,46.4%,55.8%
2021 US Open R128,L vs Gracheva,1.03,0.85,51.6,4.4,1.9%,40.7%,2.0%,48.0%,39.6%,53.5%
2021 Gdynia R16,W vs Anshba,1.05,1.32,55.5,3.0,0.0%,42.4%,0.0%,70.0%,60.6%,51.6%
2021 Bogota R16,W vs Rus,1.19,1.25,48.5,2.4,0.0%,59.2%,0.0%,60.0%,35.4%,50.0%
2021 W25 Potchefstroom F,W vs Zhao,0.97,1.34,50.9,2.2,0.0%,48.0%,0.0%,54.2%,72.4%,62.1%
2025 (2 matches),,0.95,1.02,53.1,3.2,1.3%,50.0%,0.0%,59.7%,45.5%,52.9%
2024 (1 matches),,1.13,1.24,62.4,2.3,0.0%,71.8%,0.0%,45.9%,46.3%,43.6%
2023 (5 matches),,0.99,0.78,55.5,3.1,1.1%,47.7%,1.2%,50.9%,40.6%,39.5%
2022 (8 matches),,1.02,0.94,63.1,2.8,1.0%,53.7%,1.4%,52.5%,45.3%,41.3%
2021 (5 matches),,1.07,1.18,52.7,2.9,0.5%,48.5%,0.6%,54.2%,53.1%,54.1%
Career (135 matches),,1.02,1.10,56.3,2.7,0.5%,55.2%,0.5%,54.1%,49.4%,48.0%
