Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
5,Ksenia Palkina [KGZ],5,0,100.0%,0,0,0,-,2007,2018,1,1.36,6.1%,4.5%,72.7%,70.8%,27.8%,59.1%,55.6%,85.7%,50.0%
4,Katarzyna Piter [POL],2,2,50.0%,1,1,0,100.0%,2008,2016,1,0.79,1.6%,4.8%,62.9%,51.3%,56.5%,53.2%,37.0%,60.0%,28.6%
4,Paula Kania [POL],3,1,75.0%,1,1,0,100.0%,2010,2015,0,,,,,,,,,,
4,Sofia Shapatava [GEO],4,0,100.0%,1,1,0,100.0%,2009,2010,0,,,,,,,,,,
3,Tatia Mikadze [GEO],0,3,0.0%,0,0,0,-,2004,2010,0,,,,,,,,,,
3,Agnes Szatmari [ROU],2,1,66.7%,1,1,0,100.0%,2009,2010,0,,,,,,,,,,
3,Julia Glushko [ISR],1,2,33.3%,0,0,0,-,2008,2010,0,,,,,,,,,,
3,Sofia Kvatsabaia [GEO],3,0,100.0%,0,0,0,-,2007,2009,0,,,,,,,,,,
3,Kristina Antoniychuk [UKR],0,3,0.0%,0,0,0,-,2009,2009,0,,,,,,,,,,
3,Galina Fokina [RUS],2,1,66.7%,0,0,0,-,2008,2009,0,,,,,,,,,,
2,Kateryna Baindl [UKR],0,2,0.0%,0,0,0,-,2013,2015,0,,,,,,,,,,
2,Patricia Mayr Achleitner [AUT],1,1,50.0%,0,0,0,-,2008,2015,0,,,,,,,,,,
2,Julia Terziyska [BUL],0,2,0.0%,0,0,0,-,2015,2015,0,,,,,,,,,,
2,Lyudmyla Kichenok [UKR],1,1,50.0%,0,0,0,-,2013,2014,1,0.74,5.9%,5.9%,66.7%,55.9%,41.2%,51.0%,36.4%,50.0%,16.7%
2,Irina Camelia Begu [ROU],0,2,0.0%,0,0,0,-,2008,2014,1,0.51,0.0%,12.2%,46.3%,26.3%,36.4%,31.7%,34.9%,0.0%,100.0%
