Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
01-Feb-2026,Cluj-Napoca,Hard,R16,88,146,(Q) Maja Chwalinska [POL] d. (7) Danilovic,6-1 1-6 6-2,0.88,4.5%,6.0%,70.1%,48.9%,50.0%,4/10,1:53
01-Feb-2026,Cluj-Napoca,Hard,R32,88,206,(7) Danilovic d. (WC) Miriam Bianca Bulgaru [ROU],6-4 6-3,1.25,3.2%,4.8%,64.5%,67.5%,40.9%,8/11,1:36
19-Jan-2026,Australian Open,Hard,R64,69,3,(3) Coco Gauff [USA] d. Danilovic,6-2 6-2,0.62,2.9%,2.9%,64.7%,50.0%,41.7%,12/17,1:18
19-Jan-2026,Australian Open,Hard,R128,69,578,Danilovic d. (WC) Venus Williams [USA],6-7(5) 6-3 6-4,1.20,5.3%,1.1%,73.4%,63.8%,68.0%,1/4,2:17
12-Jan-2026,Hobart,Hard,QF,68,71,Antonia Ruzic [CRO] d. Danilovic,6-3 6-3,0.83,2.0%,2.0%,64.7%,51.5%,38.9%,4/9,1:26
12-Jan-2026,Hobart,Hard,R16,68,67,Danilovic d. Peyton Stearns [USA],7-6(2) 6-1,1.21,7.6%,3.3%,60.9%,66.1%,44.4%,9/12,1:58
12-Jan-2026,Hobart,Hard,R32,68,36,Danilovic d. (2) Mccartney Kessler [USA],4-6 6-4 6-4,0.95,5.4%,1.1%,63.4%,61.0%,55.9%,5/9,2:06
13-Oct-2025,Osaka,Hard,QF,49,78,(Q) Tereza Valentova [CZE] d. (6) Danilovic,4-6 6-2 6-3,0.79,2.6%,1.3%,61.5%,45.8%,46.7%,3/10,2:05
13-Oct-2025,Osaka,Hard,R16,49,48,(6) Danilovic d. Ashlyn Krueger [USA],6-4 6-4,1.48,13.0%,1.9%,75.9%,73.2%,76.9%,1/2,1:18
13-Oct-2025,Osaka,Hard,R32,49,171,(6) Danilovic d. (WC) Nao Hibino [JPN],6-4 1-6 6-2,1.03,7.6%,5.1%,68.4%,64.8%,40.0%,3/8,1:56
06-Oct-2025,Wuhan,Hard,R64,42,12,(10) Clara Tauson [DEN] d. Danilovic,6-3 7-5,0.61,5.3%,7.4%,52.1%,65.3%,42.2%,10/14,1:51
25-Aug-2025,US Open,Hard,R128,39,94,Moyuka Uchijima [JPN] d. Danilovic,7-6(2) 4-6 7-6(9),1.00,6.2%,2.3%,57.4%,68.9%,56.4%,6/8,3:09
07-Aug-2025,Cincinnati,Hard,R64,43,39,(30) Emma Raducanu [GBR] d. Danilovic,6-3 6-2,0.52,1.5%,9.1%,63.6%,50.0%,37.5%,3/8,1:20
07-Aug-2025,Cincinnati,Hard,R128,43,50,Danilovic d. Katie Boulter [GBR],6-0 7-5,1.41,5.3%,8.8%,57.9%,60.6%,62.5%,6/8,1:31
27-Jul-2025,Montreal,Hard,R64,40,42,Veronika Kudermetova [RUS] d. (29) Danilovic,6-4 6-2,0.50,3.1%,6.2%,58.5%,71.1%,37.0%,4/7,1:24
30-Jun-2025,Wimbledon,Grass,R64,37,8,(6) Madison Keys [USA] d. Danilovic,6-4 6-2,0.73,3.0%,6.0%,68.7%,56.5%,42.9%,9/13,1:15
30-Jun-2025,Wimbledon,Grass,R128,37,124,Danilovic d. (Q) Shuai Zhang [CHN],6-2 6-4,1.22,5.3%,6.7%,61.3%,73.9%,44.8%,6/6,1:23
22-Jun-2025,Bad Homburg,Grass,R32,39,56,(WC) Naomi Osaka [JPN] d. (Q) Danilovic,7-6(6) 7-6(4),0.75,9.7%,9.7%,59.2%,72.1%,50.0%,6/6,2:05
22-Jun-2025,Bad Homburg,Grass,Q2,39,67,(2) Danilovic d. (6) Yuliia Starodubtseva [UKR],7-6(4) 6-2,1.19,10.3%,5.2%,69.0%,70.0%,55.6%,1/3,1:26
22-Jun-2025,Bad Homburg,Grass,Q1,39,283,(2) Danilovic d. (WC) Nastasja Schunk [GER],6-4 7-5,1.64,8.8%,1.8%,70.2%,90.0%,52.9%,0/0,1:19
