Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2022,1,0,1,0.0%,0-2,0.0%,0-12,0.0%,0-0,-,0,,,,,,,,,,,,R32 (W25 Madrid)
2021,19,9,10,47.4%,19-23,45.2%,178-197,47.5%,1-1,50.0%,0,,,,,,,,,,,,QF (W25 Palma del Rio)
2020,10,5,5,50.0%,9-10,47.4%,82-84,49.4%,0-1,0.0%,0,,,,,,,,,,,,SF (W15 Madrid)
2019,46,18,28,39.1%,50-61,45.0%,489-549,47.1%,7-7,50.0%,0,,,,,,,,,,,,SF (W25 Marbella)
2018,66,39,27,59.1%,85-65,56.7%,731-666,52.3%,10-7,58.8%,0,,,,,,,,,,,,W (Sant Cugat $25K)
2017,60,34,26,56.7%,80-57,58.4%,675-575,54.0%,4-8,33.3%,1,53.8%,35.7%,0.0%,1.0%,54.2%,61.5%,40.9%,52.1%,41.5%,47.2%,0.87,W (2x)
2016,61,39,22,63.9%,87-49,64.0%,688-517,57.1%,5-2,71.4%,0,,,,,,,,,,,,W (2x)
2015,50,26,24,52.0%,62-51,54.9%,533-470,53.1%,4-6,40.0%,0,,,,,,,,,,,,W (Madrid $10K)
2014,73,52,21,71.2%,109-55,66.5%,854-579,59.6%,5-9,35.7%,0,,,,,,,,,,,,W (3x)
2013,71,46,25,64.8%,100-59,62.9%,787-587,57.3%,3-4,42.9%,0,,,,,,,,,,,,W (2x)
2012,42,24,18,57.1%,53-45,54.1%,476-438,52.1%,5-5,50.0%,0,,,,,,,,,,,,F (2x)
2011,24,9,15,37.5%,23-30,43.4%,214-263,44.9%,2-2,50.0%,0,,,,,,,,,,,,QF (2x)
2010,15,9,6,60.0%,17-14,54.8%,141-130,52.0%,0-0,-,0,,,,,,,,,,,,SF (Porto 10K)
Career,538,310,228,57.6%,694-521,57.1%,5848-5067,53.6%,46-52,46.9%,1,53.8%,35.7%,0.0%,1.0%,54.2%,61.5%,40.9%,52.1%,41.5%,47.2%,0.87,
