Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Cali R32,W vs Vergara Rivera,71.4%,67.5%,1.8%,0/1,2.39,5.1%,63.3%,78.9%,0.0%,2.29,11.1%,87.5%,57.1%,4.2%,2.48,0.0%
2025 Sao Paulo R16,W vs Candiotto,71.7%,69.8%,5.0%,3/0,2.38,3.4%,69.4%,56.0%,0.0%,2.19,6.7%,85.7%,88.9%,14.3%,2.59,0.0%
2025 Sao Paulo R32,W vs Rogers,78.7%,62.5%,1.6%,1/0,2.76,22.6%,76.3%,65.5%,0.0%,2.62,43.8%,86.4%,57.9%,4.5%,2.91,0.0%
2024 Wimbledon R128,L vs Kalinskaya,59.6%,38.2%,7.0%,4/0,2.57,13.8%,62.2%,30.4%,0.0%,2.66,25.0%,68.8%,54.5%,25.0%,2.45,0.0%
2023 Wimbledon R128,L vs Sabalenka,60.5%,30.8%,20.9%,5/4,2.77,5.1%,53.8%,35.7%,23.1%,2.69,6.5%,80.0%,25.0%,20.0%,3.06,0.0%
2023 Roland Garros R128,L vs Shymanovich,87.1%,58.0%,9.7%,6/3,2.51,1.3%,84.2%,66.7%,10.5%,2.57,2.1%,91.7%,45.5%,8.3%,2.42,0.0%
2022 Wimbledon R64,L vs Mertens,65.0%,52.5%,4.1%,3/2,2.32,10.9%,66.7%,54.3%,2.9%,2.29,14.0%,77.3%,50.0%,6.8%,2.43,0.0%
2022 Roland Garros R128,L vs Contreras Gomez,72.2%,50.9%,5.1%,3/1,2.32,8.5%,63.5%,51.5%,1.9%,2.26,9.1%,92.3%,50.0%,11.5%,2.42,7.4%
2021 ITF Brasilia F,W vs Avanesyan,75.0%,56.1%,2.3%,2/0,2.64,1.9%,86.4%,49.1%,1.5%,2.65,3.0%,81.8%,100.0%,9.1%,2.63,0.0%
2021 Montevideo F,L vs Parry,55.8%,44.8%,19.2%,8/2,2.50,35.6%,55.2%,50.0%,13.8%,2.21,60.9%,72.2%,38.5%,33.3%,2.79,9.1%
2021 ITF The Hague F,L vs Lemoine,79.8%,55.2%,8.3%,5/2,2.33,6.5%,78.4%,50.0%,7.8%,2.21,10.7%,90.0%,63.0%,10.0%,2.51,0.0%
Last 52 Weeks (3 matches),,74.0%,66.4%,2.8%,80.0%,2.50,10.1%,70.2%,65.8%,0.0%,2.37,20.4%,86.6%,67.2%,7.5%,2.64,0.0%
Career (11 matches),,71.7%,54.8%,6.9%,72.7%,2.46,9.6%,71.3%,54.3%,4.9%,2.40,14.2%,84.0%,55.7%,11.8%,2.56,1.9%
