Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
20-Feb-2023,Merida,Hard,F,140,68,Camila Giorgi [ITA] d. (Q) Peterson,7-6(3) 1-6 6-2,0.97,7.9%,3.4%,69.7%,69.4%,37.0%,4/8,2:23
06-Feb-2023,W60 Orlando FL,Hard,F,145,157,(5) Kimberly Birrell [AUS] d. (3) Peterson,6-3 6-0,,,,,,,,
28-Nov-2022,Andorra 125,Hard,F,136,134,Alycia Parks [USA] d. Peterson,6-1 6-4,0.71,0.0%,1.8%,78.2%,60.5%,41.7%,5/8,1:19
14-Nov-2022,W60 Meitar,Hard,F,142,405,Mirra Andreeva [RUS] d. (1) Peterson,6-1 6-4,,,,,,,,
11-Oct-2021,W60 Rancho Santa Fe CA,Hard,F,76,639,(1) Peterson d. (Q) Elvina Kalieva [USA],6-4 6-0,,,,,,,,
07-Oct-2019,Tianjin,Hard,F,59,125,Peterson d. Heather Watson [GBR],6-4 6-4,1.24,0.0%,0.0%,69.5%,68.3%,50.0%,2/4,1:37
09-Sep-2019,Nanchang,Hard,F,78,69,(5) Peterson d. (4) Elena Rybakina [KAZ],6-2 6-0,2.31,13.2%,2.6%,63.2%,83.3%,64.3%,0/0,1:00
07-May-2018,Cagnes Sur Mer $100K,Clay,F,113,180,(8) Peterson d. (Q) Dayana Yastremska [UKR],6-4 7-5,,,,,,,,
12-Jun-2017,Padova $25K,Clay,F,212,426,(1) Peterson d. (Q) Anastasiya Vasylyeva [UKR],5-7 6-1 6-4,,,,,,,,
18-Apr-2016,Dothan AL $50K,Clay,F,131,385,(2) Peterson d. (Q) Taylor Townsend [USA],6-4 6-2,,,,,,,,
