Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21-Oct-2024,W75+H Saguenay,Hard,Q2,531,1300,(3) Peterson d. (12) Mana Ayukawa [JPN],6-2 6-1,,,,,,,,
21-Oct-2024,W75+H Saguenay,Hard,Q1,531,,(3) Peterson d. Anastasia Malysheva [CAN],6-1 6-3,,,,,,,,
08-Apr-2024,W75 Bellinzona,Clay,Q2,292,453,(9) Jesika Maleckova [CZE] d. (1) Peterson,6-3 7-6(4),,,,,,,,
08-Apr-2024,W75 Bellinzona,Clay,Q1,292,,(1) Peterson d. Valeria Kravchenko [ITA],6-0 6-0,,,,,,,,
01-Apr-2024,W75 Split,Clay,QF,303,544,(Q) Stephanie Wagner [GER] d. Peterson,6-3 6-1,,,,,,,,
01-Apr-2024,W75 Split,Clay,R16,303,205,Peterson d. (7) Tena Lukas [CRO],7-6(1) 6-1,,,,,,,,
01-Apr-2024,W75 Split,Clay,R32,303,296,Peterson d. Lesley Pattinama Kerkhove [NED],6-2 7-6(6),,,,,,,,
25-Mar-2024,W35 Terrassa,Clay,R16,299,291,(7) Julie Struplova [CZE] d. Peterson,6-1 6-3,,,,,,,,
25-Mar-2024,W35 Terrassa,Clay,R32,299,664,Peterson d. (Q) Joelle Lilly Sophie Steur [GER],6-0 6-4,,,,,,,,
29-Jan-2024,W75 Andrezieux-Boutheon,Hard,QF,123,155,(6) Tereza Martincova [CZE] d. (2) Peterson,7-6(4) 6-4,,,,,,,,
29-Jan-2024,W75 Andrezieux-Boutheon,Hard,R16,123,394,(2) Peterson d. (Q) Magali Kempen [BEL],6-3 6-7(4) 6-4,,,,,,,,
29-Jan-2024,W75 Andrezieux-Boutheon,Hard,R32,123,225,(2) Peterson d. Alice Robbe [FRA],6-2 6-3,,,,,,,,
22-Jan-2024,W75+H Porto,Hard,R16,128,164,Jessica Bouzas Maneiro [ESP] d. (6) Peterson,6-4 6-1,,,,,,,,
22-Jan-2024,W75+H Porto,Hard,R32,128,146,(6) Peterson d. Jil Teichmann [SUI],6-2 6-3,,,,,,,,
15-Jan-2024,Australian Open,Hard,Q2,128,190,Anastasia Zakharova [RUS] d. (18) Peterson,6-4 2-6 6-4,1.10,5.7%,5.7%,65.9%,65.5%,50.0%,2/6,2:12
15-Jan-2024,Australian Open,Hard,Q1,128,187,(18) Peterson d. Alexandra Eala [PHI],6-2 7-5,1.28,8.1%,4.1%,62.2%,71.7%,57.1%,5/5,1:48
01-Jan-2024,Canberra 125,Hard,R32,128,96,(5) Kamilla Rakhimova [RUS] d. (Q) Peterson,6-4 6-4,0.86,10.2%,3.4%,69.5%,65.9%,44.4%,3/7,1:29
01-Jan-2024,Canberra 125,Hard,Q2,128,187,(1) Peterson d. Polina Kudermetova [RUS],6-2 3-6 6-1,1.23,4.7%,5.9%,65.9%,69.6%,55.2%,6/7,1:55
01-Jan-2024,Canberra 125,Hard,Q1,128,210,(1) Peterson d. Nigina Abduraimova [UZB],6-3 6-4,1.41,3.5%,7.0%,59.6%,88.2%,56.5%,1/1,1:16
11-Dec-2023,Limoges 125,Hard,R16,130,850,(WC) Anastasija Sevastova [LAT] d. (8) Peterson,6-2 6-3,0.73,0.0%,7.8%,53.1%,58.8%,30.0%,5/12,1:17
11-Dec-2023,Limoges 125,Hard,R32,130,243,(8) Peterson d. Mona Barthel [GER],7-6(3) 7-5,1.02,2.2%,8.6%,49.5%,60.9%,51.1%,5/9,1:59
